step,active_behavior
0,motive_5
1,motive_5
2,motive_2
3,motive_2
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,motive_3
19,motive_3
20,motive_7
21,motive_7
22,
23,
24,
25,motive_4
26,motive_4
27,
28,
29,
30,
31,
32,
33,motive_8
34,motive_8
35,
36,
37,
38,
39,
40,
41,motive_3
42,motive_3
43,motive_6
44,motive_6
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,motive_2
57,motive_2
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,motive_5
75,motive_5
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,motive_3
95,motive_3
96,motive_7
97,motive_7
98,motive_4
99,motive_4
100,motive_8
101,motive_8
102,motive_2
103,motive_2
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,motive_3
132,motive_3
133,motive_6
134,motive_6
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,motive_4
153,motive_4
154,motive_1
155,motive_1
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,motive_2
174,motive_2
175,motive_7
176,motive_7
177,motive_3
178,motive_3
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,motive_4
198,motive_4
199,motive_8
200,motive_8
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,motive_5
229,motive_5
230,motive_2
231,motive_2
232,motive_6
233,motive_6
234,motive_3
235,motive_3
236,motive_7
237,motive_7
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,motive_4
252,motive_4
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,motive_2
269,motive_2
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,motive_3
286,motive_3
287,motive_8
288,motive_8
289,
290,
291,
292,
293,
294,
295,
296,
297,motive_5
298,motive_5
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,motive_4
323,motive_4
324,motive_7
325,motive_7
326,motive_2
327,motive_2
328,motive_3
329,motive_3
330,motive_6
331,motive_6
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,motive_1
365,motive_1
366,motive_3
367,motive_3
368,motive_7
369,motive_7
370,motive_4
371,motive_4
372,motive_8
373,motive_8
374,
375,
376,
377,
378,
379,
380,
381,
382,motive_2
383,motive_2
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,motive_3
404,motive_3
405,motive_6
406,motive_6
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,motive_4
425,motive_4
426,
427,
428,motive_1
429,motive_1
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,motive_2
454,motive_2
455,motive_7
456,motive_7
457,motive_3
458,motive_3
459,
460,
461,
462,
463,
464,
465,
466,
467,
468,
469,motive_4
470,motive_4
471,motive_8
472,motive_8
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,motive_5
503,motive_5
504,motive_2
505,motive_2
506,motive_6
507,motive_6
508,motive_3
509,motive_3
510,motive_7
511,motive_7
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,motive_4
524,motive_4
525,
526,
527,
528,
529,
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,motive_2
543,motive_2
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,motive_3
560,motive_3
561,motive_7
562,motive_7
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,motive_1
579,motive_1
580,motive_4
581,motive_4
582,motive_8
583,motive_8
584,motive_3
585,motive_3
586,motive_6
587,motive_6
588,
589,
