structure,count
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,27
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D,23
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C,21
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→D,15
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A,15
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D,14
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A,14
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D,13
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→B,12
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,11
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→C,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→D,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→D,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→C,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→D,10
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→E,9
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C,9
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→E,9
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→D,9
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→C→C→E,8
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C,8
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→B→B→C,8
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→D,7
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→B,7
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→D,6
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→C→C→B,6
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→H,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D→C,6
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→H→H→B→B→C,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→E,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→B→B→D,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→B,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→E,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→E,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→D,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→E,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→B,5
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→B,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→C,5
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→H→H→C,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→E,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→G,4
