step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.123,0.91,0.358,0.2,0.14,0.507,0.345,0.265
1,0.072,1.0,0.261,0.083,0.089,0.604,0.268,0.162
2,0.062,0.983,0.241,0.066,0.079,0.601,0.268,0.159
3,0.052,0.966,0.221,0.049,0.069,0.598,0.268,0.156
4,0.042,0.949,0.201,0.032,0.059,0.595,0.268,0.153
5,0.032,0.932,0.181,0.015,0.049,0.592,0.268,0.15
6,0.022,0.915,0.161,-0.002,0.039,0.589,0.268,0.147
7,-0.029,0.798,0.064,0.998,-0.012,0.486,0.191,0.244
8,-0.08,0.681,-0.033,1.0,-0.063,0.383,0.114,0.341
9,-0.24,0.587,0.967,0.906,-0.223,0.303,0.214,0.261
10,-0.4,0.493,1.0,0.812,-0.383,0.223,0.314,0.181
11,-0.31,0.435,0.83,0.754,0.617,0.179,0.164,0.137
12,-0.22,0.377,0.66,0.696,1.0,0.135,0.014,0.093
13,0.78,0.319,0.49,0.638,1.0,0.091,-0.136,0.049
14,1.0,0.261,0.32,0.58,1.0,0.047,-0.286,0.005
15,0.84,0.167,0.4,0.486,0.84,-0.033,0.714,-0.075
16,0.68,0.073,0.48,0.392,0.68,-0.113,1.0,-0.155
17,0.629,0.156,0.383,0.275,0.629,0.887,0.923,-0.258
18,0.578,0.239,0.286,0.158,0.578,1.0,0.846,-0.361
19,0.527,0.122,0.189,0.241,0.527,0.897,0.769,0.639
20,0.476,0.005,0.092,0.324,0.476,0.794,0.692,1.0
21,0.466,-0.012,0.072,0.307,0.466,0.791,0.692,0.997
22,0.415,0.988,-0.025,0.19,0.415,0.888,0.615,0.894
23,0.364,1.0,-0.122,0.073,0.364,0.985,0.538,0.791
24,0.204,0.906,0.878,-0.021,0.204,0.905,0.638,0.711
25,0.044,0.812,1.0,-0.115,0.044,0.825,0.738,0.631
26,-0.007,0.695,0.903,0.885,-0.007,0.722,0.661,0.728
27,-0.058,0.578,0.806,1.0,-0.058,0.619,0.584,0.825
28,0.032,0.52,0.636,0.942,0.942,0.575,0.434,0.781
29,0.122,0.462,0.466,0.884,1.0,0.531,0.284,0.737
30,0.112,0.445,0.446,0.867,0.99,0.528,0.284,0.734
31,0.102,0.428,0.426,0.85,0.98,0.525,0.284,0.731
32,0.092,0.411,0.406,0.833,0.97,0.522,0.284,0.728
33,0.082,0.394,0.386,0.816,0.96,0.519,0.284,0.725
34,0.072,0.377,0.366,0.799,0.95,0.516,0.284,0.722
35,0.062,0.36,0.346,0.782,0.94,0.513,0.284,0.719
36,0.052,0.343,0.326,0.765,0.93,0.51,0.284,0.716
37,0.042,0.326,0.306,0.748,0.92,0.507,0.284,0.713
38,0.032,0.309,0.286,0.731,0.91,0.504,0.284,0.71
39,0.022,0.292,0.266,0.714,0.9,0.501,0.284,0.707
40,0.012,0.275,0.246,0.697,0.89,0.498,0.284,0.704
41,0.002,0.258,0.226,0.68,0.88,0.495,0.284,0.701
42,-0.008,0.241,0.206,0.663,0.87,0.492,0.284,0.698
43,0.992,0.183,0.036,0.605,0.96,0.448,0.134,0.654
44,1.0,0.125,-0.134,0.547,1.0,0.404,-0.016,0.61
45,0.84,0.031,0.866,0.453,0.84,0.324,0.084,0.53
46,0.68,-0.063,1.0,0.359,0.68,0.244,0.184,0.45
47,0.629,0.937,0.903,0.242,0.629,0.341,0.107,0.347
48,0.578,1.0,0.806,0.125,0.578,0.438,0.03,0.244
49,0.568,0.983,0.786,0.108,0.568,0.435,0.03,0.241
50,0.558,0.966,0.766,0.091,0.558,0.432,0.03,0.238
51,0.548,0.949,0.746,0.074,0.548,0.429,0.03,0.235
52,0.538,0.932,0.726,0.057,0.538,0.426,0.03,0.232
53,0.528,0.915,0.706,0.04,0.528,0.423,0.03,0.229
54,0.518,0.898,0.686,0.023,0.518,0.42,0.03,0.226
55,0.508,0.881,0.666,0.006,0.508,0.417,0.03,0.223
56,0.498,0.864,0.646,-0.011,0.498,0.414,0.03,0.22
57,0.447,0.747,0.549,0.989,0.447,0.311,-0.047,0.317
58,0.396,0.63,0.452,1.0,0.396,0.208,-0.124,0.414
59,0.236,0.536,0.532,0.906,0.236,0.128,0.876,0.334
60,0.076,0.442,0.612,0.812,0.076,0.048,1.0,0.254
61,0.066,0.425,0.592,0.795,0.066,0.045,1.0,0.251
62,0.056,0.408,0.572,0.778,0.056,0.042,1.0,0.248
63,0.046,0.391,0.552,0.761,0.046,0.039,1.0,0.245
64,0.036,0.374,0.532,0.744,0.036,0.036,1.0,0.242
65,0.026,0.357,0.512,0.727,0.026,0.033,1.0,0.239
66,0.016,0.34,0.492,0.71,0.016,0.03,1.0,0.236
67,0.006,0.323,0.472,0.693,0.006,0.027,1.0,0.233
68,-0.004,0.306,0.452,0.676,-0.004,0.024,1.0,0.23
69,0.996,0.248,0.282,0.618,0.086,-0.02,0.85,0.186
70,1.0,0.19,0.112,0.56,0.176,-0.064,0.7,0.142
71,0.949,0.273,0.015,0.443,0.125,0.936,0.623,0.039
72,0.898,0.356,-0.082,0.326,0.074,1.0,0.546,-0.064
73,0.847,0.239,-0.179,0.409,0.023,0.897,0.469,0.936
74,0.796,0.122,-0.276,0.492,-0.028,0.794,0.392,1.0
75,0.636,0.028,0.724,0.398,-0.188,0.714,0.492,0.92
76,0.476,-0.066,1.0,0.304,-0.348,0.634,0.592,0.84
77,0.425,0.934,0.903,0.187,-0.399,0.731,0.515,0.737
78,0.374,1.0,0.806,0.07,-0.45,0.828,0.438,0.634
79,0.464,0.942,0.636,0.012,0.55,0.784,0.288,0.59
80,0.554,0.884,0.466,-0.046,1.0,0.74,0.138,0.546
81,0.503,0.767,0.369,0.954,0.949,0.637,0.061,0.643
82,0.452,0.65,0.272,1.0,0.898,0.534,-0.016,0.74
83,0.292,0.556,0.352,0.906,0.738,0.454,0.984,0.66
84,0.132,0.462,0.432,0.812,0.578,0.374,1.0,0.58
85,0.122,0.445,0.412,0.795,0.568,0.371,1.0,0.577
86,0.112,0.428,0.392,0.778,0.558,0.368,1.0,0.574
87,0.102,0.411,0.372,0.761,0.548,0.365,1.0,0.571
88,0.092,0.394,0.352,0.744,0.538,0.362,1.0,0.568
89,0.082,0.377,0.332,0.727,0.528,0.359,1.0,0.565
90,0.072,0.36,0.312,0.71,0.518,0.356,1.0,0.562
91,0.062,0.343,0.292,0.693,0.508,0.353,1.0,0.559
92,0.052,0.326,0.272,0.676,0.498,0.35,1.0,0.556
93,0.042,0.309,0.252,0.659,0.488,0.347,1.0,0.553
94,0.032,0.292,0.232,0.642,0.478,0.344,1.0,0.55
95,0.022,0.275,0.212,0.625,0.468,0.341,1.0,0.547
96,0.012,0.258,0.192,0.608,0.458,0.338,1.0,0.544
97,0.002,0.241,0.172,0.591,0.448,0.335,1.0,0.541
98,-0.008,0.224,0.152,0.574,0.438,0.332,1.0,0.538
99,0.992,0.166,-0.018,0.516,0.528,0.288,0.85,0.494
