step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.4434024376021811,0.8501276902647883,0.29236375501439404,0.4091610337095655,0.5609295741584618,0.15975473105057825,0.5094850167921892,-0.00211085764873388
1,0.46165968489227005,1.0,0.5909534359104692,0.5463581002418538,0.7921459835568164,0.2571384641572313,0.8983708248659799,0.06652068000066794
2,0.4245610746492289,0.9629013897569588,0.553854825667428,0.5092594899988127,0.7550473733137752,0.22003985391419012,0.8612722146229387,0.029422069757626776
3,0.3874624644061877,0.9258027795139177,0.5167562154243869,0.4721608797557715,0.7179487630707341,0.18294124367114895,0.8241736043798975,-0.007676540485414385
4,0.456474665310725,0.9944343171633195,0.8659224763967668,0.3798158182443435,0.7756397826171887,-0.057446068172108164,0.9233611645811531,0.9923234595145856
5,0.5254868662152623,1.0,1.0,0.28747075673291556,0.8333308021636433,-0.2978333800153653,1.0,1.0
6,0.45591369494844824,1.0,1.0,0.7927655392901294,0.858405801929652,0.7021666199846347,1.0,0.7596126881567429
7,0.3863405236816342,1.0,1.0,1.0,0.8834808016956607,1.0,1.0,0.5192253763134858
8,0.349241913438593,0.9629013897569588,0.9629013897569588,0.9629013897569588,0.8463821914526195,0.9629013897569588,0.9629013897569588,0.4821267660704446
9,0.31214330319555184,0.9258027795139177,0.9258027795139177,0.9258027795139177,0.8092835812095783,0.9258027795139177,0.9258027795139177,0.4450281558274034
10,0.27504469295251066,0.8887041692708765,0.8887041692708765,0.8887041692708765,0.7721849709665372,0.8887041692708765,0.8887041692708765,0.40792954558436223
11,0.2379460827094695,0.8516055590278353,0.8516055590278353,0.8516055590278353,0.735086360723496,0.8516055590278353,0.8516055590278353,0.37083093534132106
12,0.2008474724664283,0.8145069487847941,0.8145069487847941,0.8145069487847941,0.6979877504804548,0.8145069487847941,0.8145069487847941,0.3337323250982799
13,0.16374886222338714,0.777408338541753,0.777408338541753,0.777408338541753,0.6608891402374136,0.777408338541753,0.777408338541753,0.2966337148552387
14,0.12665025198034596,0.7403097282987118,0.7403097282987118,0.7403097282987118,0.6237905299943725,0.7403097282987118,0.7403097282987118,0.25953510461219753
15,0.0895516417373048,0.7032111180556706,0.7032111180556706,0.7032111180556706,0.5866919197513313,0.7032111180556706,0.7032111180556706,0.22243649436915636
16,0.05245303149426364,0.6661125078126294,0.6661125078126294,0.6661125078126294,0.5495933095082901,0.6661125078126294,0.6661125078126294,0.18533788412611518
17,0.01535442125122248,0.6290138975695883,0.6290138975695883,0.6290138975695883,0.5124946992652489,0.6290138975695883,0.6290138975695883,0.148239273883074
18,-0.02174418899181868,0.5919152873265471,0.5919152873265471,0.5919152873265471,0.47539608902220776,0.5919152873265471,0.5919152873265471,0.11114066364003285
19,0.9782558110081814,0.610172534616636,0.3563718169852713,0.8601945351180467,0.30339572718616553,0.522342116059733,0.9304156185805355,0.1801528645445702
20,1.0,0.6284297819067249,0.12082834664399554,1.0,0.1313953653501233,0.45276894479291896,1.0,0.24916506544910755
21,0.9629013897569588,0.5913311716636838,0.08372973640095438,0.9629013897569588,0.09429675510708214,0.4156703345498778,0.9629013897569588,0.21206645520606637
22,0.9258027795139177,0.5542325614206426,0.04663112615791322,0.9258027795139177,0.057198144864040984,0.3785717243068366,0.9258027795139177,0.1749678449630252
23,0.8887041692708765,0.5171339511776014,0.009532515914872058,0.8887041692708765,0.020099534620999823,0.34147311406379544,0.8887041692708765,0.13786923471998402
24,0.8516055590278353,0.48003534093456024,-0.027566094328169102,0.8516055590278353,-0.016999075622041337,0.30437450382075426,0.8516055590278353,0.10077062447694286
25,0.6160620886865595,0.7786250218306354,0.9724339056718309,1.0,0.31474364391308374,0.5294406656509043,1.0,0.44993688544932275
26,0.3805186183452838,1.0,1.0,1.0,0.6464863634482089,0.7545068274810544,1.0,0.7991031464217027
27,0.3434200081022426,0.9629013897569588,0.9629013897569588,0.9629013897569588,0.6093877532051677,0.7174082172380132,0.9629013897569588,0.7620045361786615
28,0.3063213978592014,0.9258027795139177,0.9258027795139177,0.9258027795139177,0.5722891429621265,0.680309606994972,0.9258027795139177,0.7249059259356203
29,0.26922278761616025,0.8887041692708765,0.8887041692708765,0.8887041692708765,0.5351905327190853,0.6432109967519308,0.8887041692708765,0.6878073156925791
30,0.23212417737311908,0.8516055590278353,0.8516055590278353,0.8516055590278353,0.49809192247604417,0.6061123865088897,0.8516055590278353,0.650708705449538
31,0.1950255671300779,0.8145069487847941,0.8145069487847941,0.8145069487847941,0.460993312233003,0.5690137762658485,0.8145069487847941,0.6136100952064968
