seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
0,motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,A→A→B→B→C→C→B→B→D→D→C→C→B→B→C→C→D→D→B→B→C,21,6,2,"[6, 964]",motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,
1,motive_1→motive_1→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1,A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→C→C→A,21,6,20,"[6, 78, 168, 178, 340, 400, 410, 432, 476, 498]",motive_1→motive_1→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1,motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2,motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2
2,motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_1,A→A→B→B→C→C→B→B→D→D→A→A→C→C→E→E→B→B→C→C→B,21,20,2,"[20, 892]",motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_1,motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_1,
3,motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_4,A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→E→E→D→D→B,21,58,2,"[58, 810]",motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_4,motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_1,
4,motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1,A→A→B→B→C→C→A→A→D→D→B→B→D→D→B→B→A→A→D→D→B,21,4,2,"[4, 338]",motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1,motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1,
5,motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1,A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→C→C→A→A→D,21,8,139,"[8, 14, 20, 26, 32, 38, 44, 50, 56, 62]",motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1,motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5,motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1
6,motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_1,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→D,21,2,7,"[2, 28, 112, 196, 288, 376, 460]",motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_1,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_3,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_3
7,motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4,A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C,21,0,56,"[0, 34, 42, 50, 82, 90, 122, 130, 138, 170]",motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4,motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3,motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4
8,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4,A→A→B→B→A→A→C→C→B→B→D→D→A→A→B→B→C→C→A→A→B,21,48,3,"[48, 88, 180]",motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4,motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4
9,motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_5,A→A→B→B→C→C→D→D→A→A→E→E→A→A→D→D→E→E→A→A→E,21,80,2,"[80, 386]",motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_5,
