,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
motive_1,0.0,0.241,0.35,0.241,0.1,0.241,0.35,0.241
motive_2,0.241,0.0,0.277,0.3,0.241,0.1,0.277,0.3
motive_3,0.35,0.277,0.0,0.277,0.35,0.277,0.1,0.277
motive_4,0.241,0.3,0.277,0.0,0.241,0.3,0.277,0.1
motive_5,0.1,0.241,0.35,0.241,0.0,0.241,0.35,0.241
motive_6,0.241,0.1,0.277,0.3,0.241,0.0,0.277,0.3
motive_7,0.35,0.277,0.1,0.277,0.35,0.277,0.0,0.277
motive_8,0.241,0.3,0.277,0.1,0.241,0.3,0.277,0.0
