structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,27,"16,71,120,139,170,181,183,211,217,220,262,275,309,343,346,372,374,388,413,420,541,611,625,658,889,897,911"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D,23,"27,86,98,122,228,237,261,300,316,331,353,409,423,485,493,539,637,680,850,874,925,983,998"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C,21,"22,41,76,95,173,202,247,266,307,426,465,483,558,595,634,688,736,905,928,967,968"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A,15,"39,43,145,161,187,234,253,385,391,494,509,667,674,940,991"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→D,15,"91,209,215,339,403,433,466,593,677,690,711,726,857,867,895"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A,14,"9,112,315,442,469,531,536,550,605,614,673,751,821,915"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D,14,"15,132,154,169,377,404,436,556,585,619,702,744,769,888"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D,13,"31,66,320,362,364,505,632,699,709,884,886,898,934"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→B,12,"166,196,268,322,397,447,486,607,686,809,832,982"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,11,"5,23,83,117,156,269,281,358,687,767,966"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B,10,"19,46,171,188,274,452,521,564,665,672"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→D,10,"45,82,180,184,185,235,392,453,660,931"
