step,active_behavior
0,motive_1
1,motive_1
2,motive_4
3,motive_4
4,motive_3
5,motive_3
6,
7,
8,
9,motive_8
10,motive_8
11,motive_6
12,motive_6
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,motive_7
27,motive_7
28,motive_2
29,motive_2
30,motive_8
31,motive_8
32,motive_7
33,motive_7
34,motive_2
35,motive_2
36,
37,motive_8
38,motive_8
39,motive_7
40,motive_7
41,motive_2
42,motive_2
43,
44,motive_8
45,motive_8
46,motive_7
47,motive_7
48,motive_2
49,motive_2
50,
51,motive_8
52,motive_8
53,motive_7
54,motive_7
55,motive_2
56,motive_2
57,
58,motive_8
59,motive_8
60,motive_7
61,motive_7
62,motive_2
63,motive_2
64,
65,motive_8
66,motive_8
67,motive_7
68,motive_7
69,motive_2
70,motive_2
71,
72,motive_8
73,motive_8
74,motive_7
75,motive_7
76,motive_2
77,motive_2
78,
79,motive_8
80,motive_8
81,motive_7
82,motive_7
83,motive_2
84,motive_2
85,
86,motive_8
87,motive_8
88,motive_7
89,motive_7
90,motive_2
91,motive_2
92,
93,motive_8
94,motive_8
95,motive_7
96,motive_7
97,motive_2
98,motive_2
99,
100,motive_8
101,motive_8
102,motive_7
103,motive_7
104,motive_2
105,motive_2
106,
107,motive_8
108,motive_8
109,motive_7
110,motive_7
111,motive_2
112,motive_2
113,
114,motive_8
115,motive_8
116,motive_7
117,motive_7
118,motive_2
119,motive_2
120,
121,motive_8
122,motive_8
123,motive_7
124,motive_7
125,motive_2
126,motive_2
127,
128,motive_8
129,motive_8
130,motive_7
131,motive_7
132,motive_2
133,motive_2
134,
135,motive_8
136,motive_8
137,motive_7
138,motive_7
139,motive_2
140,motive_2
141,
142,motive_8
143,motive_8
144,motive_7
145,motive_7
146,motive_2
147,motive_2
148,
149,motive_8
150,motive_8
151,motive_7
152,motive_7
153,motive_2
154,motive_2
155,
156,motive_8
157,motive_8
158,motive_7
159,motive_7
160,motive_2
161,motive_2
162,
163,motive_8
164,motive_8
