seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences
0,8,1000,0.34119808388360295,1,0.2,0.3,0.2,0.3,True,21,22
1,8,1000,0.3588859342379301,1,0.2,0.3,0.2,0.3,True,21,3
2,8,1000,0.3171181476121609,1,0.2,0.3,0.2,0.3,True,21,32
3,8,1000,0.26951837689391955,1,0.2,0.3,0.2,0.3,True,21,9
4,8,1000,0.3574571946729065,1,0.2,0.3,0.2,0.3,True,21,3
5,8,1000,0.3916718374686618,1,0.2,0.3,0.2,0.3,True,21,2
6,8,1000,0.401014328393578,1,0.2,0.3,0.2,0.3,True,21,4
7,8,1000,0.3323823078735448,1,0.2,0.3,0.2,0.3,True,21,7
8,8,1000,0.3203217679513454,1,0.2,0.3,0.2,0.3,True,21,2
9,8,1000,0.32949293404750707,1,0.2,0.3,0.2,0.3,True,21,4
10,8,1000,0.36838346400480765,1,0.2,0.3,0.2,0.3,True,21,2
11,8,1000,0.33698760728398025,1,0.2,0.3,0.2,0.3,True,21,2
12,8,1000,0.304270309792178,1,0.2,0.3,0.2,0.3,True,21,10
13,8,1000,0.37915553763982396,1,0.2,0.3,0.2,0.3,True,21,9
14,8,1000,0.2856900414002925,1,0.2,0.3,0.2,0.3,True,21,2
15,8,1000,0.3114760580108734,1,0.2,0.3,0.2,0.3,True,21,6
16,8,1000,0.33532987706649425,1,0.2,0.3,0.2,0.3,True,21,22
17,8,1000,0.35347875356470554,1,0.2,0.3,0.2,0.3,True,21,4
18,8,1000,0.3970319104303456,1,0.2,0.3,0.2,0.3,True,21,2
19,8,1000,0.37923495916354455,1,0.2,0.3,0.2,0.3,True,21,5
20,8,1000,0.3075553477246825,1,0.2,0.3,0.2,0.3,True,21,21
21,8,1000,0.37442011306238626,1,0.2,0.3,0.2,0.3,True,21,62
22,8,1000,0.30099989156865287,1,0.2,0.3,0.2,0.3,True,21,5
23,8,1000,0.354842481264473,1,0.2,0.3,0.2,0.3,True,21,2
24,8,1000,0.3866845302861323,1,0.2,0.3,0.2,0.3,True,21,4
25,8,1000,0.33627887170841797,1,0.2,0.3,0.2,0.3,True,21,11
26,8,1000,0.30980137677221736,1,0.2,0.3,0.2,0.3,True,21,8
27,8,1000,0.4057668304824165,1,0.2,0.3,0.2,0.3,True,21,13
28,8,1000,0.33504431240303184,1,0.2,0.3,0.2,0.3,True,21,10
29,8,1000,0.3445134163458904,1,0.2,0.3,0.2,0.3,True,21,18
30,8,1000,0.3222648974234352,1,0.2,0.3,0.2,0.3,True,21,5
31,8,1000,0.3291508871056365,1,0.2,0.3,0.2,0.3,True,21,48
32,8,1000,0.38254269490815174,1,0.2,0.3,0.2,0.3,True,21,7
33,8,1000,0.2981194404882269,1,0.2,0.3,0.2,0.3,True,21,3
34,8,1000,0.340454906641434,1,0.2,0.3,0.2,0.3,True,21,4
35,8,1000,0.33434504458955827,1,0.2,0.3,0.2,0.3,True,21,3
36,8,1000,0.31104713481736507,1,0.2,0.3,0.2,0.3,True,21,6
37,8,1000,0.40774917463503424,1,0.2,0.3,0.2,0.3,True,21,6
38,8,1000,0.3591742205098483,1,0.2,0.3,0.2,0.3,True,21,7
39,8,1000,0.3493707578061946,1,0.2,0.3,0.2,0.3,True,21,37
40,8,1000,0.3749970709280645,1,0.2,0.3,0.2,0.3,True,21,22
41,8,1000,0.27638671879351284,1,0.2,0.3,0.2,0.3,True,21,2
42,8,1000,0.2781566988146133,1,0.2,0.3,0.2,0.3,True,21,2
43,8,1000,0.4077858605504548,1,0.2,0.3,0.2,0.3,True,21,11
44,8,1000,0.34325128195904436,1,0.2,0.3,0.2,0.3,True,21,2
45,8,1000,0.2555674971661307,1,0.2,0.3,0.2,0.3,True,21,7
46,8,1000,0.3198368329316015,1,0.2,0.3,0.2,0.3,True,21,2
47,8,1000,0.32386810879902495,1,0.2,0.3,0.2,0.3,True,21,10
48,8,1000,0.35532190018428217,1,0.2,0.3,0.2,0.3,True,21,62
49,8,1000,0.39330005865812917,1,0.2,0.3,0.2,0.3,True,21,5
50,8,1000,0.39107060959442297,1,0.2,0.3,0.2,0.3,True,21,2
51,8,1000,0.315784518017181,1,0.2,0.3,0.2,0.3,True,21,2
52,8,1000,0.391965913125067,1,0.2,0.3,0.2,0.3,True,21,79
53,8,1000,0.33595197406165356,1,0.2,0.3,0.2,0.3,True,21,69
54,8,1000,0.3215443453976544,1,0.2,0.3,0.2,0.3,True,21,3
55,8,1000,0.36432159913831186,1,0.2,0.3,0.2,0.3,True,21,36
56,8,1000,0.32930162401159213,1,0.2,0.3,0.2,0.3,True,21,2
57,8,1000,0.34736035849463154,1,0.2,0.3,0.2,0.3,True,21,18
58,8,1000,0.3429939967161552,1,0.2,0.3,0.2,0.3,True,21,15
59,8,1000,0.35968997942883923,1,0.2,0.3,0.2,0.3,True,21,2
60,8,1000,0.3700281100611282,1,0.2,0.3,0.2,0.3,True,21,10
61,8,1000,0.26986482489329083,1,0.2,0.3,0.2,0.3,True,21,11
62,8,1000,0.27730278815368126,1,0.2,0.3,0.2,0.3,True,21,19
63,8,1000,0.3459496606393869,1,0.2,0.3,0.2,0.3,True,21,38
64,8,1000,0.27591055844616047,1,0.2,0.3,0.2,0.3,True,21,3
65,8,1000,0.32036938515945773,1,0.2,0.3,0.2,0.3,True,21,4
66,8,1000,0.36040184451055624,1,0.2,0.3,0.2,0.3,True,21,2
67,8,1000,0.24090013860058165,1,0.2,0.3,0.2,0.3,True,21,4
68,8,1000,0.39814514710812954,1,0.2,0.3,0.2,0.3,True,21,2
69,8,1000,0.2894235776891699,1,0.2,0.3,0.2,0.3,True,21,4
70,8,1000,0.28609741317138615,1,0.2,0.3,0.2,0.3,True,21,32
71,8,1000,0.3415062883136925,1,0.2,0.3,0.2,0.3,True,21,3
72,8,1000,0.36271859421626285,1,0.2,0.3,0.2,0.3,True,21,5
73,8,1000,0.3538180055572287,1,0.2,0.3,0.2,0.3,True,21,245
74,8,1000,0.3563225335631857,1,0.2,0.3,0.2,0.3,True,21,86
75,8,1000,0.3284521363359802,1,0.2,0.3,0.2,0.3,True,21,21
76,8,1000,0.34412985479144026,1,0.2,0.3,0.2,0.3,True,21,2
77,8,1000,0.2747087266580506,1,0.2,0.3,0.2,0.3,True,21,2
78,8,1000,0.410002518621697,1,0.2,0.3,0.2,0.3,True,21,4
79,8,1000,0.3878978245690283,1,0.2,0.3,0.2,0.3,True,21,5
80,8,1000,0.36490432693464914,1,0.2,0.3,0.2,0.3,True,21,8
81,8,1000,0.2538919639635116,1,0.2,0.3,0.2,0.3,True,21,7
82,8,1000,0.3468953258639331,1,0.2,0.3,0.2,0.3,True,21,9
83,8,1000,0.3240691172490039,1,0.2,0.3,0.2,0.3,True,21,83
84,8,1000,0.27193544276165127,1,0.2,0.3,0.2,0.3,True,21,2
85,8,1000,0.31481375407799506,1,0.2,0.3,0.2,0.3,True,21,10
86,8,1000,0.317894773171799,1,0.2,0.3,0.2,0.3,True,21,2
87,8,1000,0.29668627702230194,1,0.2,0.3,0.2,0.3,True,21,5
88,8,1000,0.3188778153283556,1,0.2,0.3,0.2,0.3,True,21,34
89,8,1000,0.29815384836309466,1,0.2,0.3,0.2,0.3,True,21,34
90,8,1000,0.37833445288604073,1,0.2,0.3,0.2,0.3,True,21,2
91,8,1000,0.43048277013579533,1,0.2,0.3,0.2,0.3,True,21,2
92,8,1000,0.2802368944490434,1,0.2,0.3,0.2,0.3,True,21,16
93,8,1000,0.3651978839780958,1,0.2,0.3,0.2,0.3,True,21,3
94,8,1000,0.3539972140202349,1,0.2,0.3,0.2,0.3,True,21,2
95,8,1000,0.33187547676771023,1,0.2,0.3,0.2,0.3,True,21,17
96,8,1000,0.3254251634213499,1,0.2,0.3,0.2,0.3,True,18,2
97,8,1000,0.29996004561555417,1,0.2,0.3,0.2,0.3,True,21,3
98,8,1000,0.2828075478698206,1,0.2,0.3,0.2,0.3,True,21,7
99,8,1000,0.38130844832286115,1,0.2,0.3,0.2,0.3,True,21,3
100,8,1000,0.3153719657837049,1,0.2,0.3,0.2,0.3,True,21,3
101,8,1000,0.3939613151816155,1,0.2,0.3,0.2,0.3,True,21,13
102,8,1000,0.3780971540186184,1,0.2,0.3,0.2,0.3,True,21,10
103,8,1000,0.32334114660568586,1,0.2,0.3,0.2,0.3,True,21,6
104,8,1000,0.33940098181832035,1,0.2,0.3,0.2,0.3,True,21,120
105,8,1000,0.35011741463551627,1,0.2,0.3,0.2,0.3,True,21,9
106,8,1000,0.2657476030011332,1,0.2,0.3,0.2,0.3,True,21,38
107,8,1000,0.3180414200947555,1,0.2,0.3,0.2,0.3,True,21,16
108,8,1000,0.40351365064044564,1,0.2,0.3,0.2,0.3,True,21,21
109,8,1000,0.41442210938682617,1,0.2,0.3,0.2,0.3,True,21,57
110,8,1000,0.3453026022788796,1,0.2,0.3,0.2,0.3,True,21,3
111,8,1000,0.3207427659548849,1,0.2,0.3,0.2,0.3,True,21,2
112,8,1000,0.3162869458496019,1,0.2,0.3,0.2,0.3,True,21,4
113,8,1000,0.34530214829411854,1,0.2,0.3,0.2,0.3,True,21,46
114,8,1000,0.31878919665068267,1,0.2,0.3,0.2,0.3,True,21,4
115,8,1000,0.3347170972904845,1,0.2,0.3,0.2,0.3,True,21,2
