step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.077,0.131,-0.003,0.411,0.122,0.04,0.057,0.226
1,0.157,0.345,0.997,0.625,0.202,-0.014,-0.053,0.172
2,0.237,0.559,1.0,0.839,0.282,-0.068,-0.163,0.118
3,0.317,0.491,0.87,0.771,0.362,0.16,0.837,0.346
4,0.397,0.423,0.74,0.703,0.442,0.388,1.0,0.574
5,0.377,0.396,0.71,0.676,0.422,0.375,0.99,0.561
6,0.357,0.369,0.68,0.649,0.402,0.362,0.98,0.548
7,0.337,0.342,0.65,0.622,0.382,0.349,0.97,0.535
8,0.317,0.315,0.62,0.595,0.362,0.336,0.96,0.522
9,0.297,0.288,0.59,0.568,0.342,0.323,0.95,0.509
10,0.277,0.261,0.56,0.541,0.322,0.31,0.94,0.496
11,0.257,0.234,0.53,0.514,0.302,0.297,0.93,0.483
12,0.237,0.207,0.5,0.487,0.282,0.284,0.92,0.47
13,0.217,0.18,0.47,0.46,0.262,0.271,0.91,0.457
14,0.197,0.153,0.44,0.433,0.242,0.258,0.9,0.444
15,0.177,0.126,0.41,0.406,0.222,0.245,0.89,0.431
16,0.157,0.099,0.38,0.379,0.202,0.232,0.88,0.418
17,0.137,0.072,0.35,0.352,0.182,0.219,0.87,0.405
18,0.117,0.045,0.32,0.325,0.162,0.206,0.86,0.392
19,0.097,0.018,0.29,0.298,0.142,0.193,0.85,0.379
20,0.077,-0.009,0.26,0.271,0.122,0.18,0.84,0.366
21,0.298,0.991,0.471,0.344,0.061,0.067,0.789,0.453
22,0.519,1.0,0.682,0.417,-0.0,-0.046,0.738,0.54
23,0.458,0.873,0.611,0.49,0.221,0.954,0.969,0.627
24,0.397,0.746,0.54,0.563,0.442,1.0,1.0,0.714
25,0.377,0.719,0.51,0.536,0.422,0.987,0.99,0.701
26,0.357,0.692,0.48,0.509,0.402,0.974,0.98,0.688
27,0.337,0.665,0.45,0.482,0.382,0.961,0.97,0.675
28,0.317,0.638,0.42,0.455,0.362,0.948,0.96,0.662
29,0.297,0.611,0.39,0.428,0.342,0.935,0.95,0.649
30,0.277,0.584,0.36,0.401,0.322,0.922,0.94,0.636
31,0.257,0.557,0.33,0.374,0.302,0.909,0.93,0.623
32,0.237,0.53,0.3,0.347,0.282,0.896,0.92,0.61
33,0.217,0.503,0.27,0.32,0.262,0.883,0.91,0.597
34,0.197,0.476,0.24,0.293,0.242,0.87,0.9,0.584
35,0.177,0.449,0.21,0.266,0.222,0.857,0.89,0.571
36,0.157,0.422,0.18,0.239,0.202,0.844,0.88,0.558
37,0.137,0.395,0.15,0.212,0.182,0.831,0.87,0.545
