structural_pattern,num_simulations,simulation_ids
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,301,"1,2,6,9,18,20,21,32,42,43,48,52,55,60,65,73,74,75,82,83,92,94,102,104,108,109,115,117,121,124,126,127,132,134,138,140,141,152,153,154,155,158,164,183,184,187,191,193,194,196,202,203,205,206,210,211,217,233,239,246,247,248,251,253,254,258,266,271,284,285,286,287,288,292,294,296,304,305,307,315,321,325,326,330,340,349,352,357,358,359,360,361,365,366,367,370,373,377,378,380,381,382,383,388,389,390,394,397,402,404,407,415,417,418,419,423,430,442,447,448,451,457,460,463,467,474,475,477,478,480,481,482,484,486,487,489,494,503,504,505,507,508,510,513,516,525,528,530,531,533,534,538,542,543,555,557,561,563,565,571,572,573,574,575,578,579,581,582,585,596,598,604,608,610,617,619,620,621,626,629,636,639,642,643,649,655,659,660,662,664,667,668,670,676,682,683,684,689,694,701,702,703,710,712,714,720,723,726,729,736,740,741,747,751,752,754,756,757,759,760,762,765,774,781,782,787,788,790,792,794,802,806,811,817,818,820,822,823,828,829,831,833,834,836,839,841,842,843,848,851,854,855,856,863,865,870,875,879,881,883,885,888,889,890,891,892,893,895,901,904,909,912,915,916,917,921,924,925,927,930,937,939,942,943,945,946,948,950,951,953,959,960,962,974,980,981,982,983,989,993,999"
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C,29,"51,78,86,99,160,170,189,190,218,235,236,238,313,317,332,355,386,399,400,549,554,564,690,722,728,814,853,894,979"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,18,"47,107,131,172,208,221,426,473,527,576,611,661,742,800,884,918,929,969"
A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,16,"35,111,139,277,440,461,515,548,715,732,772,776,846,871,876,963"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,13,"14,27,40,89,157,346,396,520,651,654,730,819,902"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,13,"24,29,91,137,185,302,345,446,476,607,672,786,864"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B,13,"34,68,130,192,257,276,427,566,606,733,778,899,968"
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C→C→B→B→A,12,"23,38,146,177,216,316,459,464,512,671,691,990"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A,12,"62,129,219,261,268,353,403,677,700,784,807,812"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C,11,"245,281,314,344,362,395,550,640,685,711,795"
A→A→B→B→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,9,"57,59,90,289,551,592,797,845,862"
A→A→B→B→A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A,8,"8,169,270,384,431,638,908,914"
A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,8,"15,79,105,114,449,707,826,896"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A,8,"46,150,173,264,334,343,408,910"
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→C,8,"98,167,299,517,522,535,886,996"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A,8,"116,144,174,439,612,633,830,847"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→C→C→A,8,"220,350,434,656,695,734,815,905"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→B→B→A,7,"53,188,634,645,650,764,799"
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B,7,"149,298,319,341,483,547,984"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→A,7,"215,279,428,562,688,716,718"
A→A→B→B→A→A→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C,7,"275,364,479,546,589,699,873"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,6,"11,195,356,372,810,988"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C,6,"64,97,147,398,595,874"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→B,6,"113,143,161,229,244,666"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,6,"151,422,646,775,816,985"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A,5,"0,125,337,371,977"
A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C→C→B,5,"7,28,182,783,955"
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C,5,"19,552,602,746,952"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,5,"30,31,328,493,882"
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C,5,"37,162,181,252,780"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C,5,"61,66,297,327,413"
A→A→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B,5,"70,338,679,698,859"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→A→A→B,5,"71,231,553,965,997"
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A→A→B→B→A,5,"80,135,569,616,947"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→B,5,"100,242,339,627,920"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→A→A→C,5,"145,709,877,954,973"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B,5,"260,456,537,647,866"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B,5,"323,436,593,773,897"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A,5,"437,455,568,872,949"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C,4,"25,128,306,935"
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C,4,"36,222,348,994"
