seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
0,motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_2→motive_2→motive_8,A→A→B→B→C→C→D→D→E→E→B→B→C→C→F→F→G→G→A→A→D,21,4,2,"[4, 166]",motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_2→motive_2→motive_8,motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_3,
1,motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→E→E→D,21,28,2,"[28, 70]",motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5,motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_4,
2,motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_8,A→A→B→B→C→C→D→D→E→E→B→B→A→A→C→C→B→B→F→F→D,21,78,2,"[78, 186]",motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_8,motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_6,
3,motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5,A→A→B→B→C→C→D→D→E→E→A→A→C→C→B→B→E→E→A→A→C,21,0,2,"[0, 204]",motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5,motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_1→motive_1→motive_4,
4,motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_1,A→A→B→B→C→C→D→D→A→A→E→E→B→B→F→F→G→G→C→C→A,21,36,2,"[36, 84]",motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_1,motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_1,
5,motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_8,A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→F→F→G→G→H,21,26,2,"[26, 98]",motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_8,motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_8,
6,motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→D,21,0,2,"[0, 36]",motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_8,motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8,
7,motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,21,14,4,"[14, 16, 94, 104]",motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8,motive_5→motive_5→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_2,motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_7
8,motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→E,21,2,2,"[2, 112]",motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_5,motive_5→motive_5→motive_7→motive_7→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_1,
9,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B,20,0,2,"[0, 96]",motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8,
