step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,1.0,0.48860334043766235,0.5340805007790289,0.5376788822078211,0.7557050337491694,-0.008992518658318446,0.7732986851559026,0.41990722893226273
1,1.0,0.5181043335151309,0.9173584104710277,0.7341269533188245,1.0,-0.007318423662038609,1.0,0.7983940782732415
2,0.9689811801441326,1.0,1.0,0.4774541236149347,1.0,0.9926815763379614,1.0,0.2874610797652607
3,0.9379623602882652,1.0,1.0,0.2207812939110449,1.0,1.0,1.0,-0.2234719187427201
4,1.0,0.7737038372238161,1.0,0.1882856380865423,1.0,0.48906700149201926,1.0,0.7765280812572799
5,1.0,0.5474076744476322,1.0,0.15578998226203972,1.0,-0.021865997015961522,1.0,1.0
6,0.9689811801441326,1.0,1.0,-0.10088284744185007,1.0,0.9781340029840385,1.0,0.48906700149201926
7,0.9379623602882652,1.0,1.0,-0.3575556771457399,1.0,1.0,1.0,-0.021865997015961522
8,0.8110205375407094,0.8583171270396739,1.0,0.6424443228542601,1.0,0.7433271702961103,1.0,-0.054361652840464084
9,0.6840787147931535,0.7166342540793478,1.0,1.0,1.0,0.4866543405922205,1.0,-0.08685730866496665
10,0.9165334623856911,0.4903380913031638,1.0,0.9675043441754976,1.0,-0.02427865791576027,1.0,0.9131426913350333
11,1.0,0.2640419285269799,1.0,0.935008688350995,1.0,-0.535211656423741,1.0,1.0
12,0.9689811801441326,0.8284178196988705,1.0,0.6783358586471053,1.0,0.464788343576259,1.0,0.48906700149201926
13,0.9379623602882652,1.0,1.0,0.42166302894321556,1.0,1.0,1.0,-0.021865997015961522
14,1.0,0.7737038372238161,1.0,0.38916737311871297,1.0,0.48906700149201926,1.0,0.9781340029840385
15,1.0,0.5474076744476322,1.0,0.3566717172942104,1.0,-0.021865997015961522,1.0,1.0
16,0.9689811801441326,1.0,1.0,0.09999888759032059,1.0,0.9781340029840385,1.0,0.48906700149201926
17,0.9379623602882652,1.0,1.0,-0.1566739421135692,1.0,1.0,1.0,-0.021865997015961522
18,0.8110205375407094,0.8583171270396739,1.0,0.8433260578864308,1.0,0.7433271702961103,1.0,-0.054361652840464084
19,0.6840787147931535,0.7166342540793478,1.0,1.0,1.0,0.4866543405922205,1.0,-0.08685730866496665
20,0.9165334623856911,0.4903380913031638,1.0,0.9675043441754976,1.0,-0.02427865791576027,1.0,0.9131426913350333
21,1.0,0.2640419285269799,1.0,0.935008688350995,1.0,-0.535211656423741,1.0,1.0
22,0.9689811801441326,0.8284178196988705,1.0,0.6783358586471053,1.0,0.464788343576259,1.0,0.48906700149201926
23,0.9379623602882652,1.0,1.0,0.42166302894321556,1.0,1.0,1.0,-0.021865997015961522
24,1.0,0.7737038372238161,1.0,0.38916737311871297,1.0,0.48906700149201926,1.0,0.9781340029840385
