step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.977,0.569,0.269,0.054,0.021,0.398,0.161,0.419
1,1.0,0.783,0.339,-0.156,-0.099,0.344,0.251,0.789
2,0.88,0.715,0.409,0.2,0.901,0.572,0.341,0.593
3,0.76,0.647,0.479,0.556,1.0,0.8,0.431,0.397
4,0.74,0.62,0.449,0.529,0.98,0.787,0.421,0.384
5,0.72,0.593,0.419,0.502,0.96,0.774,0.411,0.371
6,0.7,0.566,0.389,0.475,0.94,0.761,0.401,0.358
7,0.68,0.539,0.359,0.448,0.92,0.748,0.391,0.345
8,0.66,0.512,0.329,0.421,0.9,0.735,0.381,0.332
9,0.64,0.485,0.299,0.394,0.88,0.722,0.371,0.319
10,0.62,0.458,0.269,0.367,0.86,0.709,0.361,0.306
11,0.6,0.431,0.239,0.34,0.84,0.696,0.351,0.293
12,0.58,0.404,0.209,0.313,0.82,0.683,0.341,0.28
13,0.56,0.377,0.179,0.286,0.8,0.67,0.331,0.267
14,0.54,0.35,0.149,0.259,0.78,0.657,0.321,0.254
15,0.52,0.323,0.119,0.232,0.76,0.644,0.311,0.241
16,0.5,0.296,0.089,0.205,0.74,0.631,0.301,0.228
17,0.48,0.269,0.059,0.178,0.72,0.618,0.291,0.215
18,0.46,0.242,0.029,0.151,0.7,0.605,0.281,0.202
19,0.44,0.215,-0.001,0.124,0.68,0.592,0.271,0.189
20,0.52,0.429,0.999,0.48,0.76,0.538,0.161,-0.007
21,0.6,0.643,1.0,0.836,0.84,0.484,0.051,-0.203
22,0.963,0.716,0.787,0.309,0.637,0.571,0.424,0.797
23,1.0,0.789,0.574,-0.218,0.434,0.658,0.797,1.0
24,0.797,0.862,0.927,0.782,0.797,0.745,0.604,0.487
25,0.594,0.935,1.0,1.0,1.0,0.832,0.411,-0.026
26,0.957,1.0,0.787,0.473,0.797,0.919,0.784,0.974
27,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
28,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
29,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
30,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
31,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
32,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
33,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
34,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
35,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
36,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
37,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
38,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
39,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
40,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
41,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
42,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
43,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
44,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
45,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
46,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
47,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
48,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
49,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
50,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
51,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
52,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
53,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
54,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
55,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
56,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
57,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
58,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
59,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
60,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
61,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
62,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
63,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
64,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
65,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
66,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
67,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
68,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
69,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
70,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
71,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
72,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
73,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
74,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
75,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
76,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
77,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
78,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
79,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
80,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
81,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
82,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
83,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
84,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
85,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
86,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
87,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
88,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
89,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
90,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
91,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
92,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
93,0.594,1.0,1.0,1.0,1.0,1.0,0.614,-0.026
94,0.957,1.0,0.787,0.473,0.797,1.0,0.987,0.974
95,1.0,1.0,0.574,-0.054,0.594,1.0,1.0,1.0
96,0.797,1.0,0.927,0.946,0.957,1.0,0.807,0.487
