step,active_behavior
0,motive_8
1,motive_8
2,motive_4
3,motive_4
4,motive_6
5,motive_6
6,motive_3
7,motive_3
8,motive_7
9,motive_7
10,motive_5
11,motive_5
12,motive_4
13,motive_4
14,motive_6
15,motive_6
16,motive_8
17,motive_8
18,motive_4
19,motive_4
20,motive_5
21,motive_5
22,motive_3
23,motive_3
24,motive_6
25,motive_6
26,motive_4
27,motive_4
28,motive_8
29,motive_8
30,motive_5
31,motive_5
32,motive_7
33,motive_7
34,motive_1
35,motive_1
36,motive_3
37,motive_3
38,motive_4
39,motive_4
40,motive_5
41,motive_5
42,motive_3
43,motive_3
44,motive_5
45,motive_5
46,motive_6
47,motive_6
48,motive_4
49,motive_4
50,motive_7
51,motive_7
52,motive_3
53,motive_3
54,motive_5
55,motive_5
56,motive_1
57,motive_1
58,motive_8
59,motive_8
60,motive_4
61,motive_4
62,motive_6
63,motive_6
64,motive_3
65,motive_3
66,motive_5
67,motive_5
68,motive_7
69,motive_7
70,motive_4
71,motive_4
72,motive_3
73,motive_3
74,motive_5
75,motive_5
76,motive_1
77,motive_1
78,motive_8
79,motive_8
80,motive_3
81,motive_3
82,motive_7
83,motive_7
84,motive_5
85,motive_5
86,motive_1
87,motive_1
88,motive_3
89,motive_3
90,motive_4
91,motive_4
92,motive_5
93,motive_5
94,motive_3
95,motive_3
96,motive_7
97,motive_7
98,motive_6
99,motive_6
100,motive_4
101,motive_4
102,motive_5
103,motive_5
104,motive_3
105,motive_3
106,motive_6
107,motive_6
108,motive_8
109,motive_8
110,motive_4
111,motive_4
112,motive_5
113,motive_5
114,motive_3
115,motive_3
116,motive_7
117,motive_7
118,motive_1
119,motive_1
120,motive_5
121,motive_5
122,motive_4
123,motive_4
124,motive_8
125,motive_8
126,motive_6
127,motive_6
128,motive_4
129,motive_4
130,motive_1
131,motive_1
132,motive_5
133,motive_5
134,motive_4
135,motive_4
136,motive_8
137,motive_8
138,motive_7
139,motive_7
140,motive_3
141,motive_3
142,motive_4
143,motive_4
144,motive_6
145,motive_6
146,motive_5
