structural_pattern,num_simulations,simulation_ids
A→A→B→B→A→A→C→C→D→D→B→B→A→A→C→C→D→D→B→B→A,3,"350,391,827"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C,3,"368,572,700"
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C,3,"398,423,685"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→C→C→D,3,"492,577,745"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C→C→B,3,"503,541,898"
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→C→C→D→D→A,3,"526,897,991"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→D→D→B→B→A,3,"545,697,933"
A→A→B→B→C→C→A→A→B→B→C→C→D→D→A→A→C→C→B→B→A,3,"586,764,994"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A,3,"651,784,819"
A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→A→A→B→B→C,2,"5,926"
A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,2,"10,605"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,2,"13,911"
A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→A→A→C→C→D,2,"15,868"
A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,2,"23,328"
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→B→B→A,2,"24,458"
A→A→B→B→C→C→A→A→D→D→A→A→C→C→B→B→D→D→A→A→C,2,"44,698"
A→A→B→B→C→C→A→A→D→D→C→C→A→A→D→D→C→C→A→A→D,2,"47,197"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→C→C→B→B→A,2,"50,336"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→B→B→A→A→C,2,"54,80"
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→B,2,"64,427"
A→A→B→B→C→C→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B,2,"65,555"
A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→A→A→B→B→A,2,"69,600"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→D→D→C,2,"78,985"
A→A→B→B→C→C→D→D→B→B→D→D→C→C→B→B→D→D→C→C→B,2,"79,795"
A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B,2,"82,276"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A,2,"95,776"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→B,2,"97,199"
A→A→B→B→C→C→A→A→D→D→E→E→C→C→A→A→D→D→B→B→A,2,"103,544"
A→A→B→B→C→C→A→A→B→B→D→D→C→C→A→A→B→B→C→C→A,2,"107,565"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A→A→C→C→B,2,"110,808"
A→A→B→B→A→A→B→B→A→A→C→C→D→D→E→E→C→C→D→D→E,2,"115,757"
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→C→C→A→A→D,2,"123,630"
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B→B→C→C→B,2,"129,231"
A→A→B→B→A→A→C→C→D→D→C→C→A→A→B→B→A→A→B→B→A,2,"130,294"
A→A→B→B→C→C→D→D→A→A→C→C→D→D→B→B→A→A→C→C→D,2,"132,559"
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→D,2,"136,299"
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→D→D→A→A→C,2,"137,414"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→D→D→C→C→A→A→B,2,"139,261"
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C→C→D→D→B,2,"143,160"
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→D→D→C→C→A,2,"148,521"
A→A→B→B→C→C→D→D→A→A→C→C→D→D→C→C→A→A→D→D→C,2,"151,694"
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→B→B→C→C→A,2,"159,420"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→D→D→C→C→D,2,"164,571"
A→A→B→B→C→C→D→D→C→C→B→B→A→A→D→D→C→C→B→B→D,2,"165,468"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C,2,"170,831"
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A,2,"171,384"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→C→C→A→A→B→B→C,2,"175,847"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A,2,"177,455"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→A→A→C,2,"192,376"
A→A→B→B→A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A,2,"213,246"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→D,2,"221,362"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A,2,"239,942"
A→A→B→B→A→A→B→B→A→A→C→C→D→D→B→B→A→A→B→B→A,2,"247,585"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→B,2,"256,601"
A→A→B→B→A→A→C→C→D→D→A→A→B→B→A→A→C→C→B→B→A,2,"269,609"
A→A→B→B→C→C→D→D→E→E→D→D→E→E→D→D→E→E→D→D→E,2,"286,711"
A→A→B→B→A→A→C→C→D→D→B→B→A→A→C→C→D→D→A→A→B,2,"291,371"
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→C→C→D→D→A,2,"295,469"
A→A→B→B→A→A→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D,2,"296,516"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→D→D→C,2,"310,358"
A→A→B→B→C→C→B→B→A→A→D→D→C→C→B→B→A→A→B→B→C,2,"339,743"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→D→D→C→C→B→B→A,2,"345,945"
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→C,2,"363,807"
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→B→B→C,2,"372,873"
A→A→B→B→A→A→B→B→C→C→D→D→E→E→A→A→B→B→A→A→B,2,"374,486"
A→A→B→B→C→C→A→A→B→B→A→A→D→D→C→C→A→A→B→B→A,2,"377,618"
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B,2,"402,663"
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→D→D→A→A→B,2,"403,456"
A→A→B→B→C→C→D→D→B→B→C→C→D→D→A→A→B→B→C→C→D,2,"411,719"
A→A→B→B→C→C→D→D→B→B→A→A→B→B→A→A→B→B→A→A→B,2,"430,637"
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→A→A→C→C→D,2,"441,669"
A→A→B→B→C→C→D→D→B→B→A→A→C→C→D→D→B→B→A→A→B,2,"470,867"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→C→C→B→B→A→A→C,2,"487,844"
A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B,2,"549,963"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,2,"580,804"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,2,"633,882"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A,2,"643,702"
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→D→D→C→C→B,2,"652,785"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B,2,"741,889"
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→D→D→A→A→B,2,"756,799"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D→D→A→A→B,2,"814,872"
