step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.16844620847906033,0.20661930575020715,0.23262041721883048,-0.26446761553661685,0.7409284110893986,0.7876424050375902,0.6544289324805715,0.30066159030513484
1,0.5173801081221997,0.39762295480040494,0.32176219737439193,-0.798531934045284,1.0,1.0,1.0,0.6125872397594491
2,0.9175353880185331,0.28503266869467886,0.13214364865264472,0.201468065954716,0.4659356814913329,1.0,1.0,0.725469147612814
3,1.0,0.17244238258895278,-0.05747490006910251,1.0,-0.0681286370173342,1.0,1.0,0.8383510554661789
4,1.0,0.36344603163915057,0.03166688008645893,0.4659356814913329,0.9318713629826658,1.0,1.0,1.0
5,1.0,0.5544496806893483,0.12080866024202037,-0.0681286370173342,1.0,1.0,1.0,1.0
6,1.0,0.4418593945836222,-0.06880988847972686,0.9318713629826658,0.4659356814913329,1.0,1.0,1.0
7,1.0,0.32926910847789614,-0.25842843720147407,1.0,-0.0681286370173342,1.0,1.0,1.0
8,1.0,1.0,0.741571562798526,0.8103814512782528,0.021013143138227247,1.0,1.0,1.0
9,1.0,1.0,1.0,0.6207629025565056,0.11015492329378869,1.0,1.0,1.0
10,0.952242411766462,0.952242411766462,0.952242411766462,0.5730053143229675,0.062397335060250636,0.952242411766462,0.952242411766462,0.952242411766462
11,0.9044848235329239,0.9044848235329239,0.9044848235329239,0.5252477260894295,0.014639746826712582,0.9044848235329239,0.9044848235329239,0.9044848235329239
12,0.8567272352993859,0.8567272352993859,0.8567272352993859,0.47749013785589145,-0.03311784140682547,0.8567272352993859,0.8567272352993859,0.8567272352993859
13,1.0,1.0,0.9458690154549473,-0.056574180652775655,0.9668821585931745,1.0,1.0,1.0
14,1.0,1.0,1.0,-0.5906384991614427,1.0,1.0,1.0,1.0
15,1.0,0.8874097138942739,0.8103814512782528,0.40936150083855727,0.4659356814913329,1.0,1.0,1.0
16,1.0,0.7748194277885478,0.6207629025565056,1.0,-0.0681286370173342,1.0,1.0,1.0
17,1.0,0.9658230768387456,0.7099046827120671,0.4659356814913329,0.9318713629826658,1.0,1.0,1.0
18,1.0,1.0,0.7990464628676285,-0.0681286370173342,1.0,1.0,1.0,1.0
19,1.0,0.8874097138942739,0.6094279141458813,0.9318713629826658,0.4659356814913329,1.0,1.0,1.0
20,1.0,0.7748194277885478,0.41980936542413405,1.0,-0.0681286370173342,1.0,1.0,1.0
21,1.0,0.9658230768387456,0.5089511455796955,0.4659356814913329,0.9318713629826658,1.0,1.0,1.0
22,1.0,1.0,0.5980929257352569,-0.0681286370173342,1.0,1.0,1.0,1.0
23,1.0,0.8874097138942739,0.40847437701350964,0.9318713629826658,0.4659356814913329,1.0,1.0,1.0
24,1.0,0.7748194277885478,0.21885582829176242,1.0,-0.0681286370173342,1.0,1.0,1.0
25,1.0,0.9658230768387456,0.3079976084473239,0.4659356814913329,0.9318713629826658,1.0,1.0,1.0
26,1.0,1.0,0.39713938860288533,-0.0681286370173342,1.0,1.0,1.0,1.0
27,1.0,0.8874097138942739,0.20752083988113812,0.9318713629826658,0.4659356814913329,1.0,1.0,1.0
28,1.0,0.7748194277885478,0.01790229115939089,1.0,-0.0681286370173342,1.0,1.0,1.0
