test_id,elevation,amplitude,initial_mean,initial_std,corr_mean,corr_std,corr_range,rhythm_detected,mean_period,mean_strength,n_rhythmic_motives
0,-0.2,0.7611111111111111,0.38888888888888884,0.5,-0.14513888888888893,0.6278726421687368,1.961111111111111,False,0.0,0.0,0
1,0.033333333333333326,0.8555555555555555,0.2777777777777777,0.2,0.04722222222222222,0.6253825989438213,1.8222222222222222,False,0.0,0.0,0
2,-0.2,0.1,0.05555555555555558,0.1,-0.06250000000000001,0.4060095442227929,1.3,False,0.0,0.0,0
3,0.5,0.95,-0.5,0.1,0.44375,0.6054117916757156,1.62175144212722,False,0.0,0.0,0
4,-0.12222222222222223,0.95,-0.16666666666666669,0.1,-0.10069444444444446,0.703844367946582,2.072222222222222,False,0.0,0.0,1
5,0.033333333333333326,0.5722222222222222,-0.2777777777777778,0.30000000000000004,0.0826388888888889,0.4869947326191172,1.5388888888888888,False,0.0,0.0,1
6,0.033333333333333326,0.95,-0.2777777777777778,0.30000000000000004,0.03541666666666665,0.6747138024953823,1.9166666666666665,False,0.0,0.0,0
7,0.033333333333333326,0.8555555555555555,-0.16666666666666669,0.5,0.04722222222222222,0.6253825989438213,1.8222222222222222,False,0.0,0.0,0
8,0.26666666666666666,0.28888888888888886,0.05555555555555558,0.2,0.3222222222222222,0.30892086165461874,1.0222222222222221,True,77.85714285714286,0.5663178360649309,7
9,0.3444444444444445,0.95,-0.2777777777777778,0.1,0.3076388888888889,0.6251415734717345,1.62175144212722,False,0.0,0.0,2
10,-0.12222222222222223,0.6666666666666666,-0.2777777777777778,0.2,-0.06527777777777777,0.566433435118155,1.7888888888888888,False,0.0,0.0,1
11,0.18888888888888888,0.5722222222222222,-0.3888888888888889,0.5,0.21875,0.4518133687885401,1.3833333333333333,False,0.0,0.0,1
12,-0.04444444444444445,0.8555555555555555,0.05555555555555558,0.5,-0.020833333333333322,0.6405398355014288,1.9,False,0.0,0.0,0
13,0.5,0.95,0.2777777777777777,0.5,0.44375,0.6054117916757156,1.62175144212722,False,0.0,0.0,0
14,0.5,0.19444444444444445,0.5,0.30000000000000004,0.5381944444444444,0.20968887704005904,0.6944444444444444,False,0.0,0.0,0
15,0.4222222222222222,0.5722222222222222,-0.16666666666666669,0.1,0.4229166666666667,0.4056072788554143,1.15,False,0.0,0.0,0
16,-0.2,0.1,-0.05555555555555558,0.1,-0.06250000000000001,0.4060095442227929,1.3,False,0.0,0.0,0
17,-0.04444444444444445,0.3833333333333333,-0.16666666666666669,0.30000000000000004,0.038194444444444434,0.4296894290080157,1.4277777777777778,False,0.0,0.0,1
18,0.4222222222222222,0.28888888888888886,0.2777777777777777,0.4,0.4583333333333333,0.2678071675895656,0.8666666666666667,False,0.0,0.0,0
19,-0.04444444444444445,0.8555555555555555,0.5,0.5,-0.020833333333333322,0.6405398355014288,1.9,False,0.0,0.0,1
20,-0.04444444444444445,0.95,-0.3888888888888889,0.5,-0.032638888888888884,0.6889529400106967,1.9944444444444445,False,0.0,0.0,1
21,0.1111111111111111,0.1,-0.05555555555555558,0.30000000000000004,0.2097222222222222,0.3046166129156411,0.9888888888888889,False,0.0,0.0,3
22,-0.2,0.95,-0.16666666666666669,0.1,-0.16875,0.7193475776702108,2.15,False,0.0,0.0,0
23,0.033333333333333326,0.6666666666666666,0.05555555555555558,0.2,0.07083333333333332,0.5310988347023764,1.6333333333333333,False,0.0,0.0,0
24,0.033333333333333326,0.28888888888888886,0.2777777777777777,0.4,0.11805555555555555,0.37539845086731544,1.2555555555555555,False,0.0,0.0,1
25,0.1111111111111111,0.47777777777777775,-0.2777777777777778,0.30000000000000004,0.1625,0.42629387287337683,1.3666666666666667,False,0.0,0.0,1
26,0.3444444444444445,0.1,0.2777777777777777,0.1,0.4138888888888889,0.22944847992146647,0.7555555555555555,False,0.0,0.0,0
27,0.4222222222222222,0.95,-0.05555555555555558,0.4,0.37569444444444444,0.6148179087801445,1.62175144212722,True,92.5,0.5325087744688931,6
28,0.033333333333333326,0.7611111111111111,-0.5,0.1,0.05902777777777776,0.5773899439516964,1.7277777777777779,False,0.0,0.0,1
29,0.18888888888888888,0.19444444444444445,0.38888888888888884,0.5,0.2659722222222222,0.30078905363053127,1.0055555555555555,True,68.2,0.5867382438572128,5
30,0.1111111111111111,0.6666666666666666,0.2777777777777777,0.30000000000000004,0.13888888888888884,0.5144516438181148,1.5555555555555556,False,0.0,0.0,0
31,-0.12222222222222223,0.1,0.05555555555555558,0.30000000000000004,0.0055555555555555445,0.3805859679656433,1.2222222222222223,False,0.0,0.0,1
32,0.26666666666666666,0.28888888888888886,0.2777777777777777,0.1,0.3222222222222222,0.30892086165461874,1.0222222222222221,True,79.0,0.5568580018036988,8
33,0.18888888888888888,0.7611111111111111,-0.16666666666666669,0.30000000000000004,0.19513888888888886,0.5472041557931407,1.5722222222222222,False,0.0,0.0,1
34,0.1111111111111111,0.1,0.5,0.4,0.2097222222222222,0.3046166129156411,0.9888888888888889,True,64.0,0.6796177051437717,8
35,0.5,0.7611111111111111,0.05555555555555558,0.4,0.4673611111111111,0.4974118004514922,1.2992979390142056,False,0.0,0.0,0
36,0.3444444444444445,0.28888888888888886,-0.2777777777777778,0.30000000000000004,0.39027777777777783,0.28794919283498777,0.9444444444444444,True,95.875,0.517333673156167,8
37,-0.04444444444444445,0.8555555555555555,0.38888888888888884,0.2,-0.020833333333333322,0.6405398355014288,1.9,False,0.0,0.0,0
38,0.4222222222222222,0.8555555555555555,-0.5,0.1,0.3875,0.5612606373926643,1.460524690570713,False,0.0,0.0,0
