elevation,amplitude,mean_correlation,negative_correlation_count,negative_correlation_mean,decay_rate,net_flow_active,net_flow_others,total_system_flow,is_balanced,empirical_drift,final_mean_satisfaction,dissatisfied_fraction,system_unstable
-0.3,0.1,-0.15000000000000002,56,-0.31428571428571433,0.034499999999999996,0.1655,-0.04825,-0.17225,False,-0.0004375007499184149,-0.5050231443885489,1.0,False
-0.3,0.15714285714285714,-0.15714285714285714,56,-0.3224489795918367,0.03471428571428571,0.1652857142857143,-0.04882142857142857,-0.17646428571428568,False,-0.0007994997600702979,-0.5035577434097283,1.0,False
-0.3,0.2142857142857143,-0.16428571428571426,56,-0.33061224489795915,0.03492857142857142,0.1650714285714286,-0.049392857142857134,-0.18067857142857136,False,-0.000539525473486599,-0.5088800121779129,1.0,False
-0.3,0.27142857142857146,-0.17142857142857143,56,-0.3387755102040816,0.03514285714285714,0.16485714285714287,-0.04996428571428571,-0.18489285714285714,False,-0.0006198968609436674,-0.5100357597011396,1.0,False
-0.3,0.3285714285714286,-0.17857142857142855,56,-0.34693877551020413,0.03535714285714286,0.16464285714285715,-0.05053571428571429,-0.18910714285714286,False,-0.0006998787016538016,-0.514561178431784,1.0,False
-0.3,0.3857142857142858,-0.1857142857142857,56,-0.3551020408163265,0.03557142857142857,0.16442857142857142,-0.05110714285714286,-0.1933214285714286,False,-0.0008215922992351788,-0.5098631087817628,1.0,False
-0.3,0.44285714285714284,-0.19285714285714284,40,-0.5138303440959027,0.03578571428571428,0.16421428571428573,-0.05167857142857142,-0.19753571428571423,False,-6.882525332859544e-05,-0.5286400394294456,1.0,False
-0.3,0.5,-0.2,40,-0.5414213562373096,0.036,0.164,-0.05224999999999999,-0.2017499999999999,False,-0.0007537023101826392,-0.530876189350715,1.0,False
-0.3,0.5571428571428572,-0.20714285714285713,40,-0.5690123683787164,0.03621428571428571,0.1637857142857143,-0.052821428571428575,-0.2059642857142857,False,-0.00024352718383600767,-0.5382451032949179,1.0,False
-0.3,0.6142857142857143,-0.2142857142857143,40,-0.5966033805201232,0.03642857142857143,0.1635714285714286,-0.053392857142857145,-0.21017857142857144,False,0.0003901360146283786,-0.5398765302982726,1.0,False
-0.3,0.6714285714285715,-0.22142857142857142,40,-0.6241943926615299,0.036642857142857144,0.16335714285714287,-0.053964285714285715,-0.21439285714285716,False,-6.561194797508399e-05,-0.5284382559926831,1.0,False
-0.3,0.7285714285714286,-0.22857142857142856,40,-0.6517854048029367,0.03685714285714286,0.16314285714285715,-0.054535714285714285,-0.21860714285714283,False,-0.0005583944446850995,-0.543528311995171,1.0,False
-0.3,0.7857142857142857,-0.2357142857142857,40,-0.6793764169443435,0.037071428571428575,0.16292857142857142,-0.05510714285714287,-0.22282142857142867,False,7.979704244211486e-06,-0.553998309969315,1.0,False
-0.3,0.8428571428571429,-0.24285714285714283,40,-0.7069674290857503,0.03728571428571428,0.16271428571428573,-0.055678571428571424,-0.22703571428571426,False,0.00043131226660127707,-0.5452210986112911,1.0,False
