step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.46339470591503673,0.4546926831578507,-0.06470184990755831,0.18344500717131018,0.05630771633736287,0.9681099481904963,0.40515514783959694,-0.017734303315904504
1,0.6800792117851848,0.4521483363024217,-0.0722227977724475,0.42228562584774165,0.2985562500669152,1.0,0.4005641505552632,0.0029615958850491564
2,0.8370951446423002,1.0,0.9277772022275526,0.7619784218501088,0.5064270621490808,0.9924790521351107,1.0,0.3007776402159975
3,0.9941110774994154,1.0,1.0,1.0,0.7142978742312464,0.9849581042702215,1.0,0.5985936845469458
4,0.928374624145669,0.9342635466462536,0.9342635466462536,0.9342635466462536,0.6485614208774999,0.919221650916475,0.9342635466462536,0.5328572311931994
5,0.8626381707919225,0.8685270932925071,0.8685270932925071,0.8685270932925071,0.5828249675237535,0.8534851975627286,0.8685270932925071,0.46712077783945294
6,0.7969017174381761,0.8027906399387607,0.8027906399387607,0.8027906399387607,0.517088514170007,0.7877487442089821,0.8027906399387607,0.4013843244857065
7,0.7311652640844296,0.7370541865850142,0.7370541865850142,0.7370541865850142,0.45135206081626056,0.7220122908552357,0.7370541865850142,0.33564787113196004
8,0.6654288107306832,0.6713177332312678,0.6713177332312678,0.6713177332312678,0.3856156074625141,0.6562758375014892,0.6713177332312678,0.2699114177782136
9,0.5996923573769367,0.6055812798775213,0.6055812798775213,0.6055812798775213,0.31987915410876766,0.5905393841477428,0.6055812798775213,0.20417496442446717
10,0.5339559040231903,0.5398448265237749,0.5398448265237749,0.5398448265237749,0.2541427007550212,0.5248029307939963,0.5398448265237749,0.13843851107072075
11,0.4682194506694438,0.4741083731700284,0.4741083731700284,0.4741083731700284,0.1884062474012748,0.45906647744024986,0.4741083731700284,0.07270205771697433
12,0.40248299731569737,0.40837191981628196,0.40837191981628196,0.40837191981628196,0.12266979404752837,0.3933300240865034,0.40837191981628196,0.006965604363227906
13,0.3367465439619509,0.3426354664625355,0.3426354664625355,0.3426354664625355,0.05693334069378195,0.32759357073275697,0.3426354664625355,-0.058770848990518515
14,0.35527610883842653,0.9394915284560613,0.6404515107934838,1.0,0.7031409723221441,0.34828946993371057,0.5697385663523803,0.9412291510094815
15,0.37380567371490214,1.0,0.9382675551244323,1.0,1.0,0.3689853691346642,0.7968416662422251,1.0
16,0.3080692203611557,0.9342635466462536,0.8725311017706858,0.9342635466462536,0.9342635466462536,0.3032489157809177,0.7311052128884786,0.9342635466462536
17,0.24233276700740927,0.8685270932925071,0.8067946484169394,0.8685270932925071,0.8685270932925071,0.2375124624271713,0.6653687595347322,0.8685270932925071
18,0.17659631365366285,0.8027906399387607,0.7410581950631929,0.8027906399387607,0.8027906399387607,0.17177600907342488,0.5996323061809857,0.8027906399387607
19,0.11085986029991643,0.7370541865850142,0.6753217417094465,0.7370541865850142,0.7370541865850142,0.10603955571967846,0.5338958528272393,0.7370541865850142
20,0.04512340694617001,0.6713177332312678,0.6095852883557,0.6713177332312678,0.6713177332312678,0.04030310236593204,0.46815939947349283,0.6713177332312678
21,-0.020613046407576413,0.6055812798775213,0.5438488350019536,0.6055812798775213,0.6055812798775213,-0.02543335098781438,0.4024229461197464,0.6055812798775213
22,0.19607145946257168,0.6030369330220923,0.5363278871370644,0.8444218985539528,0.8478298136070735,0.9745666490121856,0.3978319488354126,0.6262771790784749
23,0.41275596533271974,0.6004925861666632,0.5288069392721751,1.0,1.0,1.0,0.39324095155107885,0.6469730782794285
24,0.3470195119789733,0.5347561328129168,0.4630704859184287,0.9342635466462536,0.9342635466462536,0.9342635466462536,0.3275044981973324,0.5812366249256821
25,0.28128305862522684,0.46901967945917034,0.39733403256468225,0.8685270932925071,0.8685270932925071,0.8685270932925071,0.26176804484358596,0.5155001715719356
26,0.21554660527148042,0.4032832261054239,0.3315975792109358,0.8027906399387607,0.8027906399387607,0.8027906399387607,0.19603159148983954,0.44976371821818917
27,0.149810151917734,0.33754677275167744,0.26586112585718935,0.7370541865850142,0.7370541865850142,0.7370541865850142,0.1302951381360931,0.3840272648644427
28,0.08407369856398758,0.271810319397931,0.20012467250344293,0.6713177332312678,0.6713177332312678,0.6713177332312678,0.06455868478234669,0.31829081151069627
29,0.01833724521024116,0.20607386604418457,0.1343882191496965,0.6055812798775213,0.6055812798775213,0.6055812798775213,-0.0011777685713997288,0.2525543581569498
30,0.5319131433835972,0.3735704658961463,0.8687017604182848,1.0,0.8526759782788712,0.6009902825931875,0.9988222314286003,0.4796574580467946
31,1.0,0.541067065748108,1.0,1.0,1.0,0.5963992853088538,1.0,0.7067605579366394
32,0.9342635466462536,0.4753306123943616,0.9342635466462536,0.9342635466462536,0.9342635466462536,0.5306628319551073,0.9342635466462536,0.6410241045828929
33,0.8685270932925071,0.40959415904061514,0.8685270932925071,0.8685270932925071,0.8685270932925071,0.4649263786013609,0.8685270932925071,0.5752876512291465
34,0.8027906399387607,0.3438577056868687,0.8027906399387607,0.8027906399387607,0.8027906399387607,0.39918992524761443,0.8027906399387607,0.5095511978754
35,0.7370541865850142,0.27812125233312224,0.7370541865850142,0.7370541865850142,0.7370541865850142,0.333453471893868,0.7370541865850142,0.4438147445216536
36,0.6713177332312678,0.21238479897937582,0.6713177332312678,0.6713177332312678,0.6713177332312678,0.26771701854012153,0.6713177332312678,0.37807829116790714
37,0.6055812798775213,0.1466483456256294,0.6055812798775213,0.6055812798775213,0.6055812798775213,0.2019805651863751,0.6055812798775213,0.3123418378141607
38,0.5398448265237749,0.08091189227188297,0.5398448265237749,0.5398448265237749,0.5398448265237749,0.1362441118326287,0.5398448265237749,0.24660538446041427
39,0.4741083731700284,0.015175438918136552,0.4741083731700284,0.4741083731700284,0.4741083731700284,0.07050765847888227,0.4741083731700284,0.18086893110666785
40,0.40837191981628196,-0.05056101443560987,0.40837191981628196,0.40837191981628196,0.40837191981628196,0.004771205125135847,0.40837191981628196,0.11513247775292143
41,0.852746663339511,0.9494389855643901,1.0,1.0,0.7314392587686606,0.002226858269706866,0.5758685196682437,0.7119885397464473
42,1.0,1.0,1.0,1.0,1.0,-0.00031748858572211436,0.7433651195202055,1.0
43,1.0,0.997455653144571,0.9924790521351107,1.0,1.0,0.9996825114142779,0.7387741222358717,1.0
44,1.0,0.994911306289142,0.9849581042702215,1.0,1.0,1.0,0.7341831249515379,1.0
45,0.9342635466462536,0.9291748529353956,0.919221650916475,0.9342635466462536,0.9342635466462536,0.9342635466462536,0.6684466715977915,0.9342635466462536
46,0.8685270932925071,0.8634383995816491,0.8534851975627286,0.8685270932925071,0.8685270932925071,0.8685270932925071,0.602710218244045,0.8685270932925071
47,0.8027906399387607,0.7977019462279027,0.7877487442089821,0.8027906399387607,0.8027906399387607,0.8027906399387607,0.5369737648902986,0.8027906399387607
48,0.7370541865850142,0.7319654928741562,0.7220122908552357,0.7370541865850142,0.7370541865850142,0.7370541865850142,0.47123731153655213,0.7370541865850142
49,0.6713177332312678,0.6662290395204098,0.6562758375014892,0.6713177332312678,0.6713177332312678,0.6713177332312678,0.4055008581828057,0.6713177332312678
50,0.6055812798775213,0.6004925861666633,0.5905393841477428,0.6055812798775213,0.6055812798775213,0.6055812798775213,0.33976440482905923,0.6055812798775213
51,0.5398448265237749,0.5347561328129169,0.5248029307939963,0.5398448265237749,0.5398448265237749,0.5398448265237749,0.2740279514753128,0.5398448265237749
52,0.4741083731700284,0.46901967945917045,0.45906647744024986,0.4741083731700284,0.4741083731700284,0.4741083731700284,0.20829149812156636,0.4741083731700284
53,0.40837191981628196,0.403283226105424,0.3933300240865034,0.40837191981628196,0.40837191981628196,0.40837191981628196,0.14255504476781994,0.40837191981628196
54,0.3426354664625355,0.33754677275167755,0.32759357073275697,0.3426354664625355,0.3426354664625355,0.3426354664625355,0.07681859141407352,0.3426354664625355
