structure,count
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→D,23
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,11
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D,9
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→E,8
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→D,8
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→B,7
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D,6
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→D,6
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→E→E→D,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→A→A→D,5
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→D→D→C→C→E,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A,5
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→A,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→A→A→D,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→H→H→C,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→D→D→C,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→C,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→C→C→B,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→H,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→E,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→A,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→D,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→B→B→C,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→D,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→E,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→C→C→B,4
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→D,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→D→D→E,4
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→D,3
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C,3
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D,3
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→B→B→A→A→C,3
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→B→B→D→D→A,3
