step,active_behavior
402,motive_6
403,motive_4
404,motive_4
405,motive_7
406,motive_7
407,motive_6
408,motive_6
409,motive_8
410,motive_8
411,motive_6
412,motive_6
413,motive_8
414,motive_8
415,motive_4
416,motive_4
417,motive_1
418,motive_1
419,motive_6
420,motive_6
421,motive_8
422,motive_8
423,motive_6
424,motive_6
425,motive_4
426,motive_4
427,motive_1
428,motive_1
429,motive_2
430,motive_2
431,motive_4
432,motive_4
433,motive_7
434,motive_7
435,motive_6
436,motive_6
437,motive_8
438,motive_8
439,motive_6
440,motive_6
441,motive_8
442,motive_8
443,motive_1
444,motive_1
445,motive_4
446,motive_4
447,motive_6
448,motive_6
449,motive_8
450,motive_8
451,motive_1
452,motive_1
453,motive_6
454,motive_6
455,motive_8
456,motive_8
457,motive_6
458,motive_6
459,motive_4
460,motive_4
461,motive_8
462,motive_8
463,motive_6
464,motive_6
465,motive_8
466,motive_8
467,motive_6
468,motive_6
469,motive_8
470,motive_8
471,motive_1
472,motive_1
473,motive_4
474,motive_4
475,motive_6
476,motive_6
477,motive_7
478,motive_7
479,motive_4
480,motive_4
481,motive_8
482,motive_8
483,motive_6
484,motive_6
485,motive_8
486,motive_8
487,motive_6
488,motive_6
489,motive_1
490,motive_1
491,motive_4
492,motive_4
493,motive_8
494,motive_8
495,motive_1
496,motive_1
497,motive_6
498,motive_6
499,motive_8
500,motive_8
501,motive_6
502,motive_6
503,motive_8
504,motive_8
505,motive_6
506,motive_6
507,motive_4
508,motive_4
509,motive_1
510,motive_1
511,motive_8
512,motive_8
513,motive_6
514,motive_6
515,motive_8
516,motive_8
517,motive_6
518,motive_6
519,motive_1
520,motive_1
521,motive_8
522,motive_8
523,motive_4
524,motive_4
525,motive_6
526,motive_6
527,motive_7
528,motive_7
529,motive_4
530,motive_4
531,motive_1
532,motive_1
533,motive_6
534,motive_6
535,motive_8
536,motive_8
537,motive_4
538,motive_4
539,motive_6
540,motive_6
541,motive_1
542,motive_1
543,motive_8
544,motive_8
545,motive_6
546,motive_6
547,motive_4
548,motive_4
549,motive_8
550,motive_8
551,motive_6
552,motive_6
553,motive_1
554,motive_1
555,motive_8
556,motive_8
557,motive_6
558,motive_6
559,motive_8
560,motive_8
561,motive_4
562,motive_4
563,motive_6
564,motive_6
565,motive_1
566,motive_1
567,motive_8
568,motive_8
569,motive_4
570,motive_4
571,motive_6
572,motive_6
573,motive_7
