step,motive,satisfaction
28,motive_7,-1.0
28,motive_8,1.0
29,motive_1,-0.014999999999999847
29,motive_2,0.35700000000000004
29,motive_3,-0.9710000000000001
29,motive_4,-0.7010000000000003
29,motive_5,0.0
29,motive_6,-0.873
29,motive_7,-1.0
29,motive_8,0.843
30,motive_1,-0.13999999999999985
30,motive_2,0.14600000000000002
30,motive_3,-0.9420000000000002
30,motive_4,-1.0
30,motive_5,1.0
30,motive_6,-1.0
30,motive_7,-1.0
30,motive_8,0.6859999999999999
31,motive_1,-0.14199999999999985
31,motive_2,-0.017999999999999988
31,motive_3,-1.0
31,motive_4,0.0
31,motive_5,0.518
31,motive_6,-1.0
31,motive_7,-1.0
31,motive_8,0.8399999999999999
32,motive_1,-0.14399999999999985
32,motive_2,-0.182
32,motive_3,-1.0
32,motive_4,1.0
32,motive_5,0.03600000000000003
32,motive_6,-1.0
32,motive_7,-1.0
32,motive_8,0.9939999999999998
33,motive_1,-0.28099999999999986
33,motive_2,-0.326
33,motive_3,0.0
33,motive_4,0.473
33,motive_5,-0.034999999999999976
33,motive_6,-1.0
33,motive_7,-1.0
33,motive_8,0.7559999999999998
34,motive_1,-0.4179999999999998
34,motive_2,-0.47000000000000003
34,motive_3,1.0
34,motive_4,-0.05400000000000005
34,motive_5,-0.10599999999999996
34,motive_6,-1.0
34,motive_7,-1.0
34,motive_8,0.5179999999999998
35,motive_1,-0.46799999999999986
35,motive_2,-0.773
35,motive_3,0.766
35,motive_4,-0.38400000000000006
35,motive_5,-0.75
35,motive_6,0.0
35,motive_7,-1.0
35,motive_8,0.47599999999999976
36,motive_1,-0.5179999999999999
36,motive_2,-1.0
36,motive_3,0.532
36,motive_4,-0.7140000000000001
36,motive_5,-1.0
36,motive_6,1.0
36,motive_7,-1.0
36,motive_8,0.4339999999999997
37,motive_1,-0.42599999999999993
37,motive_2,-1.0
37,motive_3,0.37100000000000005
37,motive_4,-1.0
37,motive_5,-1.0
37,motive_6,0.7439999999999999
37,motive_7,0.0
37,motive_8,0.2869999999999997
38,motive_1,-0.33399999999999996
38,motive_2,-1.0
38,motive_3,0.21000000000000002
38,motive_4,-1.0
38,motive_5,-1.0
38,motive_6,0.4879999999999999
38,motive_7,1.0
38,motive_8,0.13999999999999968
39,motive_1,-0.495
39,motive_2,0.0
39,motive_3,-0.0050000000000000044
39,motive_4,-1.0
39,motive_5,-1.0
39,motive_6,0.04299999999999987
39,motive_7,0.451
39,motive_8,-0.07600000000000032
40,motive_1,-0.656
40,motive_2,1.0
40,motive_3,-0.22000000000000003
40,motive_4,-1.0
40,motive_5,-1.0
40,motive_6,-0.40200000000000014
40,motive_7,-0.09799999999999998
40,motive_8,-0.2920000000000003
41,motive_1,-0.763
41,motive_2,0.784
41,motive_3,-0.529
41,motive_4,-0.9880000000000001
41,motive_5,-1.0
41,motive_6,-0.5860000000000002
41,motive_7,-0.316
41,motive_8,0.7079999999999997
42,motive_1,-0.87
42,motive_2,0.5680000000000001
42,motive_3,-0.8380000000000001
42,motive_4,-0.9760000000000001
42,motive_5,-1.0
42,motive_6,-0.7700000000000002
42,motive_7,-0.534
42,motive_8,1.0
43,motive_1,0.13
43,motive_2,0.3780000000000001
43,motive_3,-1.0
43,motive_4,-1.0
43,motive_5,-1.0
43,motive_6,-0.9910000000000002
43,motive_7,-0.542
43,motive_8,0.864
44,motive_1,1.0
44,motive_2,0.1880000000000001
44,motive_3,-1.0
44,motive_4,-1.0
44,motive_5,-1.0
44,motive_6,-1.0
44,motive_7,-0.55
44,motive_8,0.728
45,motive_1,0.863
45,motive_2,0.044000000000000095
45,motive_3,0.0
45,motive_4,-1.0
45,motive_5,-1.0
45,motive_6,-1.0
45,motive_7,-0.7110000000000001
45,motive_8,0.49
46,motive_1,0.726
46,motive_2,-0.09999999999999991
46,motive_3,1.0
46,motive_4,-1.0
46,motive_5,-1.0
46,motive_6,-1.0
46,motive_7,-0.8720000000000001
46,motive_8,0.252
47,motive_1,0.818
47,motive_2,-0.5779999999999998
47,motive_3,0.839
47,motive_4,-1.0
47,motive_5,-1.0
47,motive_6,-1.0
47,motive_7,0.1279999999999999
47,motive_8,0.10500000000000001
48,motive_1,0.91
48,motive_2,-1.0
48,motive_3,0.6779999999999999
48,motive_4,-1.0
48,motive_5,-1.0
48,motive_6,-1.0
48,motive_7,1.0
48,motive_8,-0.041999999999999996
49,motive_1,0.908
49,motive_2,-1.0
49,motive_3,0.22199999999999992
49,motive_4,0.0
49,motive_5,-1.0
49,motive_6,-1.0
49,motive_7,0.7010000000000001
49,motive_8,0.11199999999999999
50,motive_1,0.906
50,motive_2,-1.0
50,motive_3,-0.2340000000000001
50,motive_4,1.0
50,motive_5,-1.0
50,motive_6,-1.0
50,motive_7,0.4020000000000001
50,motive_8,0.26599999999999996
51,motive_1,0.781
51,motive_2,-1.0
51,motive_3,-0.2050000000000001
51,motive_4,0.547
51,motive_5,0.0
51,motive_6,-1.0
51,motive_7,0.0010000000000000564
51,motive_8,0.10899999999999996
52,motive_1,0.656
52,motive_2,-1.0
52,motive_3,-0.1760000000000001
52,motive_4,0.09400000000000003
52,motive_5,1.0
52,motive_6,-1.0
52,motive_7,-0.39999999999999997
52,motive_8,-0.04800000000000004
53,motive_1,0.7480000000000001
53,motive_2,-1.0
53,motive_3,-0.3370000000000001
53,motive_4,-0.276
53,motive_5,0.49899999999999994
53,motive_6,-1.0
53,motive_7,0.6000000000000001
53,motive_8,-0.19500000000000006
54,motive_1,0.8400000000000002
54,motive_2,-1.0
54,motive_3,-0.4980000000000001
54,motive_4,-0.646
54,motive_5,-0.0020000000000000573
54,motive_6,-1.0
54,motive_7,1.0
54,motive_8,-0.3420000000000001
55,motive_1,0.7900000000000003
55,motive_2,-1.0
55,motive_3,-0.7320000000000002
55,motive_4,-0.9760000000000001
55,motive_5,-0.646
55,motive_6,0.0
55,motive_7,0.815
55,motive_8,-0.3840000000000001
56,motive_1,0.7400000000000003
56,motive_2,-1.0
56,motive_3,-0.9660000000000002
56,motive_4,-1.0
56,motive_5,-1.0
56,motive_6,1.0
56,motive_7,0.6299999999999999
56,motive_8,-0.42600000000000016
57,motive_1,0.7380000000000003
57,motive_2,-1.0
57,motive_3,-1.0
57,motive_4,0.0
57,motive_5,-1.0
57,motive_6,0.67
57,motive_7,0.3309999999999999
57,motive_8,-0.2720000000000002
58,motive_1,0.7360000000000003
58,motive_2,-1.0
58,motive_3,-1.0
58,motive_4,1.0
58,motive_5,-1.0
58,motive_6,0.33999999999999997
58,motive_7,0.03199999999999989
58,motive_8,-0.11800000000000022
59,motive_1,0.5750000000000003
59,motive_2,0.0
59,motive_3,-1.0
59,motive_4,0.694
59,motive_5,-1.0
59,motive_6,-0.10500000000000004
59,motive_7,-0.5170000000000001
59,motive_8,-0.3340000000000002
60,motive_1,0.41400000000000026
60,motive_2,1.0
60,motive_3,-1.0
60,motive_4,0.3879999999999999
60,motive_5,-1.0
60,motive_6,-0.55
60,motive_7,-1.0
60,motive_8,-0.5500000000000002
61,motive_1,0.5060000000000003
61,motive_2,0.522
61,motive_3,-1.0
61,motive_4,0.017999999999999905
61,motive_5,-1.0
61,motive_6,-0.806
61,motive_7,0.0
61,motive_8,-0.6970000000000002
62,motive_1,0.5980000000000004
62,motive_2,0.04400000000000004
62,motive_3,-1.0
