seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
10,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1,A→A→B→B→A→A→C→C→A→A→C→C→B→B→A→A→B→B→A→A→C,21,8,2,"[8, 140]",motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1,motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6,
11,motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,21,2,2,"[2, 30]",motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2,motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2,
12,motive_4→motive_4→motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1,A→A→B→B→C→C→A→A→B→B→D→D→B→B→A→A→B→B→D→D→B,21,4,2,"[4, 118]",motive_4→motive_4→motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1,motive_4→motive_4→motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1,
13,motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_6,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→B,21,8,4,"[8, 126, 170, 192]",motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_6,motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_6,motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_6
14,motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7,A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,21,0,5,"[0, 86, 102, 156, 172]",motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7,motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4,motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7
15,motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,21,4,9,"[4, 20, 44, 66, 82, 106, 128, 144, 168]",motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_6,motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7
16,motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2,A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→D→D→A→A→B,21,0,24,"[0, 6, 12, 18, 24, 76, 82, 88, 94, 100]",motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2,motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2,motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2
17,motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5,A→A→B→B→C→C→D→D→A→A→C→C→D→D→A→A→B→B→C→C→D,21,4,2,"[4, 134]",motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5,motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5,
18,motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,4,94,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7,motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5,motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7
19,motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C,21,0,27,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]",motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8,motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3
