step,active_behavior
417,motive_4
418,motive_4
419,motive_8
420,motive_8
421,motive_4
422,motive_4
423,motive_8
424,motive_8
425,motive_4
426,motive_4
427,motive_8
428,motive_8
429,motive_4
430,motive_4
431,motive_8
432,motive_8
433,motive_4
434,motive_4
435,motive_8
436,motive_8
437,motive_4
438,motive_4
439,motive_8
440,motive_8
441,motive_4
442,motive_4
443,motive_8
444,motive_8
445,motive_4
446,motive_4
447,motive_8
448,motive_8
449,motive_4
450,motive_4
451,motive_8
452,motive_8
453,motive_4
454,motive_4
455,motive_8
456,motive_8
457,motive_4
458,motive_4
459,motive_8
460,motive_8
461,motive_4
462,motive_4
463,motive_8
464,motive_8
465,motive_4
466,motive_4
467,motive_8
468,motive_8
469,motive_4
470,motive_4
471,motive_8
472,motive_8
473,motive_4
474,motive_4
475,motive_8
476,motive_8
477,motive_4
478,motive_4
479,motive_8
480,motive_8
481,motive_4
482,motive_4
483,motive_8
484,motive_8
485,motive_4
486,motive_4
487,motive_8
488,motive_8
489,motive_4
490,motive_4
491,motive_8
492,motive_8
493,motive_4
494,motive_4
495,motive_8
496,motive_8
497,motive_4
498,motive_4
499,motive_8
