seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
0,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,21,0,46,"[0, 10, 20, 30, 40, 50, 60, 86, 96, 106]",motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5
1,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4,A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B,21,4,7,"[4, 90, 176, 262, 348, 434, 520]",motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4
2,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B,21,4,55,"[4, 22, 40, 58, 76, 94, 112, 130, 148, 166]",motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5
3,motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5,A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→D→D→B→B→C,21,0,23,"[0, 44, 72, 108, 152, 204, 226, 312, 342, 380]",motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5,motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5,motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_5
4,motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C,21,8,37,"[8, 86, 102, 118, 134, 150, 166, 182, 198, 214]",motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3,motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_3,motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_3
5,motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2,A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→A→A→B→B→C,21,12,2,"[12, 370]",motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2,motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_5,
6,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_7,A→A→B→B→A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C,21,4,2,"[4, 374]",motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_7,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_7,
7,motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3,A→A→B→B→C→C→A→A→B→B→A→A→C→C→D→D→A→A→B→B→C,21,8,3,"[8, 72, 334]",motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3,motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_3→motive_3→motive_2,motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3
8,motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_5,A→A→B→B→C→C→A→A→B→B→C→C→A→A→D→D→C→C→A→A→B,21,14,2,"[14, 32]",motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_5,
9,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_8,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→D→D→B,21,0,7,"[0, 36, 108, 144, 398, 434, 698]",motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_8,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_8,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_8
10,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,21,6,3,"[6, 180, 626]",motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3
11,motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7,A→A→B→B→A→A→C→C→A→A→B→B→D→D→A→A→B→B→D→D→A,21,6,2,"[6, 88]",motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7,motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7,
12,motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1,A→A→B→B→C→C→D→D→A→A→B→B→C→C→E→E→C→C→B→B→C,21,2,18,"[2, 40, 78, 116, 154, 182, 210, 246, 274, 302]",motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1,motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1,motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1
13,motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,21,16,18,"[16, 40, 64, 88, 112, 136, 160, 184, 208, 232]",motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6
14,motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4,A→A→B→B→C→C→D→D→E→E→B→B→D→D→E→E→A→A→D→D→E,21,22,4,"[22, 92, 256, 432]",motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4,motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_7,motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_7
15,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8,A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→A→A→C→C→D,21,32,11,"[32, 56, 96, 160, 200, 224, 288, 328, 352, 416]",motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8
16,motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6,A→A→B→B→C→C→D→D→A→A→C→C→B→B→D→D→C→C→A→A→B,21,0,130,"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]",motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6,motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3,motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1
17,motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_8,A→A→B→B→A→A→B→B→C→C→D→D→A→A→C→C→B→B→E→E→A,21,6,2,"[6, 478]",motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_8,motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_8,
18,motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7,A→A→B→B→A→A→B→B→A→A→C→C→D→D→E→E→D→D→E→E→D,21,24,2,"[24, 304]",motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7,motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7,
19,motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C,21,6,14,"[6, 60, 64, 136, 168, 222, 260, 314, 346, 350]",motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8
20,motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_3,A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,21,0,33,"[0, 28, 54, 84, 110, 136, 162, 192, 218, 248]",motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_3,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_6,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_6
21,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,0,258,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1,motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1
22,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_8,A→A→B→B→A→A→C→C→B→B→D→D→A→A→B→B→C→C→A→A→B,21,16,2,"[16, 60]",motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_8,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_6,
23,motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4,A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,21,20,2,"[20, 142]",motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4,motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_5→motive_5→motive_4→motive_4→motive_3,
24,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→B→B→A,21,4,12,"[4, 20, 76, 114, 154, 186, 210, 226, 282, 314]",motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3
25,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C,21,8,22,"[8, 24, 40, 62, 78, 94, 116, 132, 148, 170]",motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5
26,motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,21,0,211,"[0, 2, 26, 28, 30, 32, 34, 36, 38, 40]",motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2,motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_8,motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2
