step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
91,0.156,0.156,0.072,0.492,0.64,0.232,1.0,0.438
92,0.146,0.139,0.052,0.475,0.63,0.229,1.0,0.435
93,0.136,0.122,0.032,0.458,0.62,0.226,1.0,0.432
94,0.126,0.105,0.012,0.441,0.61,0.223,1.0,0.429
95,0.116,0.088,-0.008,0.424,0.6,0.22,1.0,0.426
96,-0.044,-0.006,0.992,0.33,0.44,0.14,1.0,0.346
97,-0.204,-0.1,1.0,0.236,0.28,0.06,1.0,0.266
98,0.796,-0.158,0.83,0.178,0.37,0.016,0.85,0.222
99,1.0,-0.216,0.66,0.12,0.46,-0.028,0.7,0.178
100,0.949,-0.133,0.563,0.003,0.409,0.972,0.623,0.075
101,0.898,-0.05,0.466,-0.114,0.358,1.0,0.546,-0.028
102,0.847,-0.167,0.369,0.886,0.307,0.897,0.469,0.069
103,0.796,-0.284,0.272,1.0,0.256,0.794,0.392,0.166
104,0.745,0.716,0.175,0.883,0.205,0.891,0.315,0.063
105,0.694,1.0,0.078,0.766,0.154,0.988,0.238,-0.04
106,0.643,0.883,-0.019,0.849,0.103,0.885,0.161,0.96
107,0.592,0.766,-0.116,0.932,0.052,0.782,0.084,1.0
108,0.432,0.672,0.884,0.838,-0.108,0.702,0.184,0.92
109,0.272,0.578,1.0,0.744,-0.268,0.622,0.284,0.84
110,0.362,0.52,0.83,0.686,0.732,0.578,0.134,0.796
111,0.452,0.462,0.66,0.628,1.0,0.534,-0.016,0.752
112,0.292,0.368,0.74,0.534,0.84,0.454,0.984,0.672
113,0.132,0.274,0.82,0.44,0.68,0.374,1.0,0.592
114,0.122,0.257,0.8,0.423,0.67,0.371,1.0,0.589
115,0.112,0.24,0.78,0.406,0.66,0.368,1.0,0.586
116,0.102,0.223,0.76,0.389,0.65,0.365,1.0,0.583
117,0.092,0.206,0.74,0.372,0.64,0.362,1.0,0.58
118,0.082,0.189,0.72,0.355,0.63,0.359,1.0,0.577
119,0.072,0.172,0.7,0.338,0.62,0.356,1.0,0.574
120,0.062,0.155,0.68,0.321,0.61,0.353,1.0,0.571
121,0.052,0.138,0.66,0.304,0.6,0.35,1.0,0.568
122,0.042,0.121,0.64,0.287,0.59,0.347,1.0,0.565
123,0.032,0.104,0.62,0.27,0.58,0.344,1.0,0.562
124,0.022,0.087,0.6,0.253,0.57,0.341,1.0,0.559
125,0.012,0.07,0.58,0.236,0.56,0.338,1.0,0.556
126,0.002,0.053,0.56,0.219,0.55,0.335,1.0,0.553
127,-0.008,0.036,0.54,0.202,0.54,0.332,1.0,0.55
128,0.992,-0.022,0.37,0.144,0.63,0.288,0.85,0.506
129,1.0,-0.08,0.2,0.086,0.72,0.244,0.7,0.462
130,0.949,0.92,0.103,-0.031,0.669,0.341,0.623,0.359
131,0.898,1.0,0.006,-0.148,0.618,0.438,0.546,0.256
132,0.847,0.883,-0.091,0.852,0.567,0.335,0.469,0.353
133,0.796,0.766,-0.188,1.0,0.516,0.232,0.392,0.45
134,0.636,0.672,0.812,0.906,0.356,0.152,0.492,0.37
135,0.476,0.578,1.0,0.812,0.196,0.072,0.592,0.29
136,0.466,0.561,0.98,0.795,0.186,0.069,0.592,0.287
137,0.456,0.544,0.96,0.778,0.176,0.066,0.592,0.284
138,0.446,0.527,0.94,0.761,0.166,0.063,0.592,0.281
139,0.436,0.51,0.92,0.744,0.156,0.06,0.592,0.278
140,0.426,0.493,0.9,0.727,0.146,0.057,0.592,0.275
141,0.416,0.476,0.88,0.71,0.136,0.054,0.592,0.272
142,0.406,0.459,0.86,0.693,0.126,0.051,0.592,0.269
143,0.396,0.442,0.84,0.676,0.116,0.048,0.592,0.266
144,0.386,0.425,0.82,0.659,0.106,0.045,0.592,0.263
145,0.376,0.408,0.8,0.642,0.096,0.042,0.592,0.26
146,0.366,0.391,0.78,0.625,0.086,0.039,0.592,0.257
147,0.356,0.374,0.76,0.608,0.076,0.036,0.592,0.254
148,0.346,0.357,0.74,0.591,0.066,0.033,0.592,0.251
149,0.336,0.34,0.72,0.574,0.056,0.03,0.592,0.248
150,0.326,0.323,0.7,0.557,0.046,0.027,0.592,0.245
151,0.316,0.306,0.68,0.54,0.036,0.024,0.592,0.242
152,0.306,0.289,0.66,0.523,0.026,0.021,0.592,0.239
153,0.296,0.272,0.64,0.506,0.016,0.018,0.592,0.236
154,0.286,0.255,0.62,0.489,0.006,0.015,0.592,0.233
155,0.276,0.238,0.6,0.472,-0.004,0.012,0.592,0.23
156,0.366,0.18,0.43,0.414,0.996,-0.032,0.442,0.186
157,0.456,0.122,0.26,0.356,1.0,-0.076,0.292,0.142
158,0.405,0.205,0.163,0.239,0.949,0.924,0.215,0.039
159,0.354,0.288,0.066,0.122,0.898,1.0,0.138,-0.064
160,0.303,0.171,-0.031,0.205,0.847,0.897,0.061,0.936
161,0.252,0.054,-0.128,0.288,0.796,0.794,-0.016,1.0
162,0.092,-0.04,0.872,0.194,0.636,0.714,0.084,0.92
163,-0.068,-0.134,1.0,0.1,0.476,0.634,0.184,0.84
164,0.932,-0.192,0.83,0.042,0.566,0.59,0.034,0.796
165,1.0,-0.25,0.66,-0.016,0.656,0.546,-0.116,0.752
166,0.949,0.75,0.563,-0.133,0.605,0.643,-0.193,0.649
167,0.898,1.0,0.466,-0.25,0.554,0.74,-0.27,0.546
168,0.847,0.883,0.369,0.75,0.503,0.637,-0.347,0.643
169,0.796,0.766,0.272,1.0,0.452,0.534,-0.424,0.74
170,0.636,0.672,0.352,0.906,0.292,0.454,0.576,0.66
171,0.476,0.578,0.432,0.812,0.132,0.374,1.0,0.58
172,0.466,0.561,0.412,0.795,0.122,0.371,1.0,0.577
173,0.456,0.544,0.392,0.778,0.112,0.368,1.0,0.574
174,0.446,0.527,0.372,0.761,0.102,0.365,1.0,0.571
175,0.436,0.51,0.352,0.744,0.092,0.362,1.0,0.568
176,0.426,0.493,0.332,0.727,0.082,0.359,1.0,0.565
177,0.416,0.476,0.312,0.71,0.072,0.356,1.0,0.562
178,0.406,0.459,0.292,0.693,0.062,0.353,1.0,0.559
179,0.396,0.442,0.272,0.676,0.052,0.35,1.0,0.556
180,0.386,0.425,0.252,0.659,0.042,0.347,1.0,0.553
181,0.376,0.408,0.232,0.642,0.032,0.344,1.0,0.55
182,0.366,0.391,0.212,0.625,0.022,0.341,1.0,0.547
183,0.356,0.374,0.192,0.608,0.012,0.338,1.0,0.544
184,0.346,0.357,0.172,0.591,0.002,0.335,1.0,0.541
185,0.336,0.34,0.152,0.574,-0.008,0.332,1.0,0.538
186,0.426,0.282,-0.018,0.516,0.992,0.288,0.85,0.494
187,0.516,0.224,-0.188,0.458,1.0,0.244,0.7,0.45
188,0.356,0.13,0.812,0.364,0.84,0.164,0.8,0.37
189,0.196,0.036,1.0,0.27,0.68,0.084,0.9,0.29
190,0.186,0.019,0.98,0.253,0.67,0.081,0.9,0.287
191,0.176,0.002,0.96,0.236,0.66,0.078,0.9,0.284
192,0.166,-0.015,0.94,0.219,0.65,0.075,0.9,0.281
193,0.115,0.985,0.843,0.102,0.599,0.172,0.823,0.178
194,0.064,1.0,0.746,-0.015,0.548,0.269,0.746,0.075
195,0.013,0.883,0.649,0.985,0.497,0.166,0.669,0.172
196,-0.038,0.766,0.552,1.0,0.446,0.063,0.592,0.269
197,0.962,0.708,0.382,0.942,0.536,0.019,0.442,0.225
198,1.0,0.65,0.212,0.884,0.626,-0.025,0.292,0.181
199,0.949,0.733,0.115,0.767,0.575,0.975,0.215,0.078
200,0.898,0.816,0.018,0.65,0.524,1.0,0.138,-0.025
201,0.847,0.699,-0.079,0.733,0.473,0.897,0.061,0.975
202,0.796,0.582,-0.176,0.816,0.422,0.794,-0.016,1.0
203,0.636,0.488,0.824,0.722,0.262,0.714,0.084,0.92
204,0.476,0.394,1.0,0.628,0.102,0.634,0.184,0.84
205,0.466,0.377,0.98,0.611,0.092,0.631,0.184,0.837
