seed,pattern,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions
10,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,21,6,2,"[6, 180]"
11,motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_7,21,6,2,"[6, 88]"
12,motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_1,21,2,10,"[2, 40, 78, 116, 154, 182, 210, 246, 274, 302]"
13,motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,21,16,9,"[16, 40, 64, 88, 112, 136, 160, 184, 208]"
14,motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_5,21,42,2,"[42, 110]"
15,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8,21,32,6,"[32, 56, 96, 160, 200, 224]"
16,motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_6,21,0,22,"[0, 18, 36, 54, 72, 90, 108, 126, 144, 162]"
17,motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_5→motive_5→motive_8→motive_8→motive_5,21,22,4,"[22, 114, 180, 246]"
18,motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_7,21,86,2,"[86, 158]"
19,motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_2→motive_2→motive_3,21,6,5,"[6, 60, 136, 168, 222]"
20,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,21,16,21,"[16, 20, 46, 72, 76, 102, 128, 154, 180, 184]"
21,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1,21,0,62,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
22,motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_3→motive_3→motive_6,21,68,5,"[68, 98, 128, 176, 206]"
23,motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_3,21,30,2,"[30, 70]"
24,motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,21,4,4,"[4, 20, 76, 154]"
25,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_5,21,8,11,"[8, 24, 40, 62, 78, 94, 116, 132, 148, 170]"
26,motive_6→motive_6→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_8,21,24,8,"[24, 72, 120, 174, 216, 270, 312, 360]"
27,motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_2,21,6,13,"[6, 32, 42, 68, 94, 104, 130, 140, 166, 192]"
28,motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_7,21,10,10,"[10, 36, 62, 88, 114, 140, 166, 192, 218, 244]"
29,motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_7→motive_7→motive_1,21,24,18,"[24, 40, 56, 72, 88, 104, 120, 136, 152, 168]"
30,motive_2→motive_2→motive_5→motive_5→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_5,21,20,5,"[20, 38, 112, 186, 260]"
31,motive_5→motive_5→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_6,21,46,48,"[46, 52, 58, 64, 70, 76, 82, 88, 94, 100]"
32,motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_6,21,62,7,"[62, 86, 130, 154, 198, 242, 286]"
33,motive_7→motive_7→motive_3→motive_3→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_7→motive_7→motive_4→motive_4→motive_3→motive_3→motive_7→motive_7→motive_1,21,10,3,"[10, 154, 262]"
34,motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_3,21,0,4,"[0, 78, 236, 384]"
35,motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_7,21,2,3,"[2, 48, 188]"
36,motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_4→motive_4→motive_2,21,0,6,"[0, 120, 240, 316, 392, 468]"
37,motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_8,21,6,6,"[6, 16, 60, 132, 160, 214]"
38,motive_2→motive_2→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3→motive_3→motive_6→motive_6→motive_3,21,2,7,"[2, 28, 62, 300, 470, 504, 580]"
39,motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_1→motive_1→motive_3→motive_3→motive_7,21,10,37,"[10, 16, 22, 28, 34, 40, 46, 52, 58, 80]"
40,motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5,21,4,22,"[4, 30, 40, 50, 60, 70, 96, 106, 116, 126]"
41,motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_2→motive_2→motive_4,21,0,2,"[0, 190]"
42,motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_7→motive_7→motive_5,21,26,2,"[26, 152]"
43,motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_4,21,0,11,"[0, 24, 48, 72, 96, 120, 144, 168, 192, 216]"
44,motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_6→motive_6→motive_1,21,18,2,"[18, 48]"
45,motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_4→motive_4→motive_6→motive_6→motive_1,21,8,7,"[8, 58, 92, 190, 272, 322, 356]"
46,motive_8→motive_8→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_8,21,16,2,"[16, 168]"
47,motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_5,21,6,10,"[6, 32, 82, 138, 144, 170, 220, 276, 282, 308]"
48,motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7,21,0,62,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
49,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_5,21,14,5,"[14, 74, 126, 194, 306]"
50,motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_2,21,12,2,"[12, 238]"
51,motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_5,21,20,2,"[20, 162]"
52,motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6→motive_6→motive_8→motive_8→motive_6,21,0,79,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
53,motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_6→motive_6→motive_5,21,0,69,"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]"
54,motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7,21,10,3,"[10, 56, 102]"
55,motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2→motive_2→motive_6→motive_6→motive_2,21,0,36,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
56,motive_8→motive_8→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_3→motive_3→motive_4,21,6,2,"[6, 180]"
57,motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_7,21,4,18,"[4, 18, 32, 46, 60, 74, 88, 102, 116, 130]"
58,motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_1,21,12,15,"[12, 30, 48, 66, 84, 102, 120, 138, 200, 218]"
59,motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_3,21,2,2,"[2, 42]"
60,motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_3,21,4,10,"[4, 50, 92, 116, 138, 162, 188, 230, 272, 314]"
61,motive_8→motive_8→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_8,21,32,11,"[32, 74, 90, 148, 164, 206, 222, 264, 280, 322]"
62,motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_4,21,2,19,"[2, 28, 54, 80, 106, 132, 158, 184, 194, 220]"
63,motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_8,21,2,38,"[2, 8, 14, 20, 26, 32, 38, 44, 50, 56]"
64,motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_2,21,12,3,"[12, 100, 392]"
65,motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_3→motive_3→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_3→motive_3→motive_7→motive_7→motive_3,21,4,4,"[4, 76, 278, 890]"
66,motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1,21,72,2,"[72, 154]"
67,motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_7,21,18,4,"[18, 66, 254, 348]"
68,motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5,21,32,2,"[32, 198]"
69,motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_7→motive_7→motive_4,21,6,4,"[6, 70, 102, 186]"
70,motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_7,21,12,32,"[12, 22, 32, 42, 52, 62, 72, 82, 92, 102]"
71,motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_8,21,6,3,"[6, 50, 94]"
72,motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1,21,6,5,"[6, 44, 160, 192, 320]"
73,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,21,2,245,"[2, 6, 10, 14, 18, 22, 26, 30, 34, 38]"
74,motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,21,0,86,"[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
75,motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7,21,10,21,"[10, 32, 82, 118, 140, 176, 198, 234, 256, 278]"
76,motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_6,21,6,2,"[6, 90]"
77,motive_3→motive_3→motive_5→motive_5→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3,21,46,2,"[46, 72]"
78,motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_8,21,2,4,"[2, 140, 180, 220]"
79,motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_1,21,2,5,"[2, 118, 176, 234, 292]"
80,motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_1,21,2,8,"[2, 34, 58, 96, 182, 206, 292, 316]"
81,motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_4→motive_4→motive_8,21,46,7,"[46, 80, 114, 148, 182, 232, 266]"
82,motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_4,21,22,9,"[22, 44, 66, 88, 110, 132, 154, 176, 198]"
83,motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_2,21,10,83,"[10, 14, 18, 22, 26, 30, 34, 38, 42, 46]"
84,motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2,21,8,2,"[8, 108]"
85,motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_1,21,0,10,"[0, 22, 64, 86, 130, 152, 184, 206, 274, 296]"
86,motive_4→motive_4→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_4→motive_4→motive_6,21,20,2,"[20, 136]"
87,motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8,21,4,5,"[4, 172, 210, 294, 332]"
88,motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_7→motive_7→motive_5,21,20,34,"[20, 28, 36, 44, 52, 60, 68, 76, 84, 92]"
89,motive_4→motive_4→motive_8→motive_8→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_4,21,4,34,"[4, 14, 24, 34, 44, 54, 64, 74, 84, 94]"
90,motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_8,21,60,2,"[60, 150]"
91,motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1,21,48,2,"[48, 72]"
92,motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,21,0,16,"[0, 22, 48, 70, 92, 118, 140, 166, 188, 214]"
93,motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_7,21,26,3,"[26, 204, 248]"
94,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,21,0,2,"[0, 190]"
95,motive_8→motive_8→motive_4→motive_4→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_8,21,6,17,"[6, 22, 38, 54, 70, 86, 102, 118, 134, 150]"
96,motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2,18,120,2,"[120, 140]"
97,motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_7,21,6,3,"[6, 28, 66]"
98,motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_7,21,8,7,"[8, 48, 148, 178, 238, 288, 328]"
99,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_8,21,2,3,"[2, 100, 222]"
100,motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_1→motive_1→motive_8,21,98,3,"[98, 158, 218]"
101,motive_3→motive_3→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_3→motive_3→motive_7→motive_7→motive_3→motive_3→motive_8→motive_8→motive_3→motive_3→motive_7,21,2,13,"[2, 20, 38, 56, 106, 124, 142, 160, 178, 196]"
102,motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_4→motive_4→motive_3→motive_3→motive_1→motive_1→motive_8,21,52,10,"[52, 74, 96, 118, 140, 162, 184, 206, 228, 250]"
