step,motive,satisfaction
24,motive_5,-0.25
24,motive_6,-0.015999999999999986
24,motive_7,-1.0
24,motive_8,-0.476
25,motive_1,0.0
25,motive_2,0.09599999999999992
25,motive_3,0.7629999999999999
25,motive_4,-1.0
25,motive_5,-0.375
25,motive_6,-0.09499999999999999
25,motive_7,-1.0
25,motive_8,-0.754
26,motive_1,1.0
26,motive_2,-0.2360000000000001
26,motive_3,0.5259999999999998
26,motive_4,-1.0
26,motive_5,-0.5
26,motive_6,-0.174
26,motive_7,-1.0
26,motive_8,-1.0
27,motive_1,0.8919999999999999
27,motive_2,-0.8560000000000001
27,motive_3,0.3649999999999998
27,motive_4,-1.0
27,motive_5,-0.801
27,motive_6,-0.288
27,motive_7,0.0
27,motive_8,-1.0
28,motive_1,0.7839999999999998
28,motive_2,-1.0
28,motive_3,0.2039999999999998
28,motive_4,-1.0
28,motive_5,-1.0
28,motive_6,-0.40199999999999997
28,motive_7,1.0
28,motive_8,-1.0
29,motive_1,0.5339999999999998
29,motive_2,-1.0
29,motive_3,-0.03000000000000022
29,motive_4,-1.0
29,motive_5,-1.0
29,motive_6,0.5980000000000001
29,motive_7,0.815
29,motive_8,-1.0
30,motive_1,0.28399999999999986
30,motive_2,-1.0
30,motive_3,-0.26400000000000023
30,motive_4,-1.0
30,motive_5,-1.0
30,motive_6,1.0
30,motive_7,0.6299999999999999
30,motive_8,-1.0
31,motive_1,-0.07700000000000012
31,motive_2,0.0
31,motive_3,-0.47900000000000026
31,motive_4,-1.0
31,motive_5,-1.0
31,motive_6,0.6970000000000001
31,motive_7,0.0809999999999999
31,motive_8,-1.0
32,motive_1,-0.4380000000000001
32,motive_2,1.0
32,motive_3,-0.6940000000000003
32,motive_4,-1.0
32,motive_5,-1.0
32,motive_6,0.39400000000000013
32,motive_7,-0.4680000000000001
32,motive_8,-1.0
33,motive_1,-0.7750000000000001
33,motive_2,0.714
33,motive_3,0.3059999999999997
33,motive_4,-1.0
33,motive_5,-0.871
33,motive_6,0.2310000000000001
33,motive_7,-0.6290000000000001
33,motive_8,-1.0
34,motive_1,-1.0
34,motive_2,0.42799999999999994
34,motive_3,1.0
34,motive_4,-1.0
34,motive_5,-0.742
34,motive_6,0.06800000000000009
34,motive_7,-0.79
34,motive_8,-1.0
35,motive_1,-1.0
35,motive_2,-0.19200000000000006
35,motive_3,0.839
35,motive_4,-1.0
35,motive_5,-1.0
35,motive_6,-0.045999999999999916
35,motive_7,0.20999999999999996
35,motive_8,-1.0
36,motive_1,-1.0
36,motive_2,-0.812
36,motive_3,0.6779999999999999
36,motive_4,-1.0
36,motive_5,-1.0
36,motive_6,-0.15999999999999992
36,motive_7,1.0
36,motive_8,-1.0
37,motive_1,-1.0
37,motive_2,-1.0
37,motive_3,0.36899999999999994
37,motive_4,-0.8460000000000001
37,motive_5,-1.0
37,motive_6,-0.20199999999999993
37,motive_7,0.782
37,motive_8,0.0
38,motive_1,-1.0
38,motive_2,-1.0
38,motive_3,0.05999999999999994
38,motive_4,-0.6920000000000002
38,motive_5,-1.0
38,motive_6,-0.24399999999999994
38,motive_7,0.5640000000000001
38,motive_8,1.0
39,motive_1,-1.0
39,motive_2,0.0
39,motive_3,-0.15500000000000008
39,motive_4,-0.8560000000000002
39,motive_5,-1.0
39,motive_6,-0.5469999999999999
39,motive_7,0.015000000000000069
39,motive_8,0.642
40,motive_1,-1.0
40,motive_2,1.0
40,motive_3,-0.3700000000000001
40,motive_4,-1.0
40,motive_5,-1.0
40,motive_6,-0.8499999999999999
40,motive_7,-0.5339999999999999
40,motive_8,0.28400000000000003
41,motive_1,-1.0
41,motive_2,0.555
41,motive_3,-0.6040000000000001
41,motive_4,-1.0
41,motive_5,-1.0
41,motive_6,0.15000000000000013
41,motive_7,-0.7189999999999999
41,motive_8,0.09999999999999998
42,motive_1,-1.0
42,motive_2,0.11000000000000004
42,motive_3,-0.8380000000000001
42,motive_4,-1.0
42,motive_5,-1.0
42,motive_6,1.0
42,motive_7,-0.9039999999999999
42,motive_8,-0.08400000000000005
43,motive_1,-1.0
43,motive_2,-0.243
43,motive_3,-0.8090000000000002
43,motive_4,-1.0
43,motive_5,0.0
43,motive_6,0.527
43,motive_7,-1.0
43,motive_8,-0.38300000000000006
44,motive_1,-1.0
44,motive_2,-0.5960000000000001
44,motive_3,-0.7800000000000002
44,motive_4,-1.0
44,motive_5,1.0
44,motive_6,0.05400000000000005
44,motive_7,-1.0
44,motive_8,-0.6820000000000002
45,motive_1,-1.0
45,motive_2,-0.8820000000000001
45,motive_3,0.21999999999999975
45,motive_4,-1.0
45,motive_5,1.0
45,motive_6,-0.10899999999999996
45,motive_7,-1.0
45,motive_8,-1.0
46,motive_1,-1.0
46,motive_2,-1.0
46,motive_3,1.0
46,motive_4,-1.0
46,motive_5,1.0
46,motive_6,-0.27199999999999996
46,motive_7,-1.0
46,motive_8,-1.0
47,motive_1,0.0
47,motive_2,-1.0
47,motive_3,0.7629999999999999
47,motive_4,-1.0
47,motive_5,0.875
47,motive_6,-0.351
47,motive_7,-1.0
47,motive_8,-1.0
48,motive_1,1.0
48,motive_2,-1.0
48,motive_3,0.5259999999999998
48,motive_4,-1.0
48,motive_5,0.75
48,motive_6,-0.43
48,motive_7,-1.0
48,motive_8,-1.0
49,motive_1,0.6930000000000001
49,motive_2,-1.0
49,motive_3,0.2169999999999998
49,motive_4,-0.8460000000000001
49,motive_5,0.622
49,motive_6,-0.472
49,motive_7,-1.0
49,motive_8,0.0
50,motive_1,0.38600000000000007
50,motive_2,-1.0
50,motive_3,-0.0920000000000002
50,motive_4,-0.6920000000000002
50,motive_5,0.494
50,motive_6,-0.514
50,motive_7,-1.0
50,motive_8,1.0
51,motive_1,0.2780000000000001
51,motive_2,-1.0
51,motive_3,-0.2530000000000002
51,motive_4,-0.9200000000000002
51,motive_5,0.19299999999999998
51,motive_6,-0.628
51,motive_7,0.0
51,motive_8,0.711
52,motive_1,0.1700000000000001
52,motive_2,-1.0
52,motive_3,-0.41400000000000026
52,motive_4,-1.0
52,motive_5,-0.10800000000000004
52,motive_6,-0.742
52,motive_7,1.0
52,motive_8,0.42199999999999993
53,motive_1,-0.0799999999999999
53,motive_2,-1.0
53,motive_3,-0.6480000000000004
53,motive_4,-1.0
53,motive_5,-0.552
53,motive_6,0.258
53,motive_7,0.815
53,motive_8,0.23799999999999988
54,motive_1,-0.3299999999999999
54,motive_2,-1.0
54,motive_3,-0.8820000000000003
54,motive_4,-1.0
54,motive_5,-0.996
54,motive_6,1.0
54,motive_7,0.6299999999999999
54,motive_8,0.053999999999999826
55,motive_1,-0.6549999999999999
55,motive_2,-1.0
55,motive_3,-0.8530000000000004
55,motive_4,-1.0
55,motive_5,0.0040000000000000036
55,motive_6,0.527
55,motive_7,0.22899999999999987
55,motive_8,-0.2450000000000002
56,motive_1,-0.98
56,motive_2,-1.0
56,motive_3,-0.8240000000000005
56,motive_4,-1.0
56,motive_5,1.0
56,motive_6,0.05400000000000005
56,motive_7,-0.17200000000000015
56,motive_8,-0.5440000000000003
57,motive_1,0.020000000000000018
57,motive_2,-1.0
57,motive_3,-1.0
57,motive_4,-1.0
57,motive_5,0.875
57,motive_6,-0.024999999999999953
57,motive_7,-0.18000000000000016
57,motive_8,-0.8220000000000003
58,motive_1,1.0
58,motive_2,-1.0
58,motive_3,-1.0
58,motive_4,-1.0
58,motive_5,0.75
58,motive_6,-0.10399999999999995
58,motive_7,-0.18800000000000017
58,motive_8,-1.0
59,motive_1,0.639
59,motive_2,0.0
59,motive_3,-1.0
59,motive_4,-1.0
59,motive_5,0.5680000000000001
59,motive_6,-0.4069999999999999
59,motive_7,-0.7370000000000001
59,motive_8,-1.0
60,motive_1,0.2780000000000001
60,motive_2,1.0
60,motive_3,-1.0
60,motive_4,-1.0
60,motive_5,0.386
