step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
92,0.468,0.111,0.91,0.798,0.72,0.75,0.725,0.83
93,0.448,0.084,0.88,0.771,0.7,0.737,0.715,0.817
94,0.428,0.057,0.85,0.744,0.68,0.724,0.705,0.804
95,0.408,0.03,0.82,0.717,0.66,0.711,0.695,0.791
96,0.388,0.003,0.79,0.69,0.64,0.698,0.685,0.778
97,0.368,-0.024,0.76,0.663,0.62,0.685,0.675,0.765
98,0.462,0.976,0.844,0.736,0.686,0.752,0.751,0.852
99,0.556,1.0,0.928,0.809,0.752,0.819,0.827,0.939
100,0.536,0.973,0.898,0.782,0.732,0.806,0.817,0.926
101,0.516,0.946,0.868,0.755,0.712,0.793,0.807,0.913
102,0.496,0.919,0.838,0.728,0.692,0.78,0.797,0.9
103,0.476,0.892,0.808,0.701,0.672,0.767,0.787,0.887
104,0.456,0.865,0.778,0.674,0.652,0.754,0.777,0.874
105,0.436,0.838,0.748,0.647,0.632,0.741,0.767,0.861
106,0.416,0.811,0.718,0.62,0.612,0.728,0.757,0.848
107,0.396,0.784,0.688,0.593,0.592,0.715,0.747,0.835
108,0.376,0.757,0.658,0.566,0.572,0.702,0.737,0.822
109,0.356,0.73,0.628,0.539,0.552,0.689,0.727,0.809
110,0.336,0.703,0.598,0.512,0.532,0.676,0.717,0.796
111,0.316,0.676,0.568,0.485,0.512,0.663,0.707,0.783
112,0.296,0.649,0.538,0.458,0.492,0.65,0.697,0.77
113,0.276,0.622,0.508,0.431,0.472,0.637,0.687,0.757
114,0.256,0.595,0.478,0.404,0.452,0.624,0.677,0.744
115,0.236,0.568,0.448,0.377,0.432,0.611,0.667,0.731
116,0.216,0.541,0.418,0.35,0.412,0.598,0.657,0.718
117,0.196,0.514,0.388,0.323,0.392,0.585,0.647,0.705
118,0.176,0.487,0.358,0.296,0.372,0.572,0.637,0.692
119,0.156,0.46,0.328,0.269,0.352,0.559,0.627,0.679
120,0.136,0.433,0.298,0.242,0.332,0.546,0.617,0.666
121,0.116,0.406,0.268,0.215,0.312,0.533,0.607,0.653
122,0.096,0.379,0.238,0.188,0.292,0.52,0.597,0.64
123,0.076,0.352,0.208,0.161,0.272,0.507,0.587,0.627
124,0.056,0.325,0.178,0.134,0.252,0.494,0.577,0.614
125,0.036,0.298,0.148,0.107,0.232,0.481,0.567,0.601
126,0.016,0.271,0.118,0.08,0.212,0.468,0.557,0.588
127,-0.004,0.244,0.088,0.053,0.192,0.455,0.547,0.575
128,0.996,0.331,0.158,0.084,0.252,0.528,0.637,0.704
129,1.0,0.418,0.228,0.115,0.312,0.601,0.727,0.833
130,0.98,0.391,0.198,0.088,0.292,0.588,0.717,0.82
131,0.96,0.364,0.168,0.061,0.272,0.575,0.707,0.807
