seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
614,8,2000,0.40995391668112957,1,0.2,0.3,0.2,0.3,True,21,21,A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→A→A→B
615,8,2000,0.3865107221656522,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→D→D→E→E→F→F→D→D→E→E→D→D→E
616,8,2000,0.3177949580104222,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B
617,8,2000,0.3667550728970493,1,0.2,0.3,0.2,0.3,True,21,12,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C
618,8,2000,0.4108762803423804,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→A→A→B→B→A→A→D→D→C→C→A→A→B→B→A
619,8,2000,0.3753800680076181,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B
620,8,2000,0.3065989353562788,1,0.2,0.3,0.2,0.3,True,21,126,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
621,8,2000,0.4035943463918888,1,0.2,0.3,0.2,0.3,True,21,25,A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B
622,8,2000,0.30903049003172967,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→C→C→A→A→B→B→D→D→A→A→C→C→B→B→A
623,8,2000,0.36967936456442846,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→B→B→C→C→D→D→B→B→A→A→E→E→C→C→B
624,8,2000,0.34511269411287043,1,0.2,0.3,0.2,0.3,True,21,9,A→A→B→B→C→C→D→D→C→C→B→B→A→A→D→D→C→C→B→B→A
625,8,2000,0.30392495284302845,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→B→B→A→A→C
626,8,2000,0.3057698614782633,1,0.2,0.3,0.2,0.3,True,21,434,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
627,8,2000,0.3678537817033887,1,0.2,0.3,0.2,0.3,True,21,10,A→A→B→B→A→A→C→C→B→B→A→A→C→C→A→A→B→B→A→A→C
628,8,2000,0.32088147243551673,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→E→E→A→A→C
629,8,2000,0.3253844932911029,1,0.2,0.3,0.2,0.3,True,21,489,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
630,8,2000,0.22244637258481761,1,0.2,0.3,0.2,0.3,True,21,111,A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→C→C→A→A→D
631,8,2000,0.35058739691734997,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→C→C→B
632,8,2000,0.346069021693519,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C
633,8,2000,0.3573838380020578,1,0.2,0.3,0.2,0.3,True,21,17,A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C
634,8,2000,0.3774099661349125,1,0.2,0.3,0.2,0.3,True,21,13,A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B
635,8,2000,0.36031088931005856,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→B
636,8,2000,0.3085761494536913,1,0.2,0.3,0.2,0.3,True,21,14,A→A→B→B→A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→A
637,8,2000,0.3468130106393052,1,0.2,0.3,0.2,0.3,True,21,13,A→A→B→B→C→C→D→D→B→B→A→A→B→B→A→A→B→B→A→A→B
638,8,2000,0.36933386568181065,1,0.2,0.3,0.2,0.3,True,21,30,A→A→B→B→C→C→B→B→A→A→C→C→B→B→D→D→A→A→B→B→C
639,8,2000,0.40588706323502854,1,0.2,0.3,0.2,0.3,True,21,252,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
640,8,2000,0.29770392373268184,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C→C→A→A→B
