structural_pattern,num_simulations,simulation_ids
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,53,"18,37,48,52,75,108,109,117,179,203,204,217,233,239,276,305,326,381,394,400,404,407,481,482,484,494,510,519,533,554,578,598,604,619,639,642,658,696,713,736,759,765,782,788,789,856,870,885,927,939,946,960,962"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,26,"114,146,173,188,197,259,294,328,344,364,449,473,487,489,490,551,553,576,645,661,702,797,844,910,918,961"
A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B,12,"39,225,348,379,448,503,595,662,763,845,857,997"
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C,10,"121,153,183,253,352,740,811,854,863,925"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,7,"25,127,265,387,531,981,984"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A,6,"38,205,284,549,700,880"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→C,6,"59,71,246,341,475,558"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,6,"66,104,154,248,330,890"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C,6,"240,285,548,670,703,719"
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C,5,"7,27,372,732,738"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,5,"68,566,601,634,908"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B,5,"151,419,508,754,790"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B,5,"164,377,474,681,851"
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→C,5,"357,505,751,803,916"
