step,active_behavior
412,motive_3
413,motive_3
414,motive_6
415,motive_6
416,motive_3
417,motive_3
418,motive_6
419,motive_6
420,motive_3
421,motive_3
422,motive_6
423,motive_6
424,motive_2
425,motive_2
426,
427,
428,motive_3
429,motive_3
430,motive_6
431,motive_6
432,motive_3
433,motive_3
434,motive_6
435,motive_6
436,motive_3
437,motive_3
438,motive_6
439,motive_6
440,motive_3
441,motive_3
442,motive_6
443,motive_6
444,motive_3
445,motive_3
446,motive_6
447,motive_6
448,motive_3
449,motive_3
450,motive_6
451,motive_6
452,motive_3
453,motive_3
454,motive_6
455,motive_6
456,motive_3
457,motive_3
458,motive_6
459,motive_6
460,motive_2
461,motive_2
462,
463,
464,motive_3
465,motive_3
466,motive_6
467,motive_6
468,motive_3
469,motive_3
470,motive_6
471,motive_6
472,motive_3
473,motive_3
474,motive_6
475,motive_6
476,motive_3
477,motive_3
478,motive_6
479,motive_6
480,motive_3
481,motive_3
482,motive_6
483,motive_6
484,motive_3
485,motive_3
486,motive_6
487,motive_6
488,motive_3
489,motive_3
490,motive_6
491,motive_6
492,motive_3
493,motive_3
494,motive_6
495,motive_6
496,motive_3
497,motive_3
498,motive_2
499,motive_2
500,motive_6
501,motive_6
502,motive_3
503,motive_3
504,motive_6
505,motive_6
506,motive_3
507,motive_3
508,motive_6
509,motive_6
510,motive_3
511,motive_3
512,motive_6
513,motive_6
514,motive_3
515,motive_3
516,motive_6
517,motive_6
518,motive_3
519,motive_3
520,motive_6
521,motive_6
522,motive_3
523,motive_3
524,motive_6
525,motive_6
526,motive_3
527,motive_3
528,motive_6
529,motive_6
530,motive_3
531,motive_3
532,motive_2
533,motive_2
534,motive_6
535,motive_6
536,motive_3
537,motive_3
538,motive_6
539,motive_6
540,motive_3
541,motive_3
542,motive_6
543,motive_6
544,motive_3
545,motive_3
546,motive_6
547,motive_6
548,motive_3
549,motive_3
550,motive_6
551,motive_6
552,motive_3
553,motive_3
554,motive_6
555,motive_6
556,motive_3
557,motive_3
558,motive_6
559,motive_6
560,motive_3
561,motive_3
562,motive_6
563,motive_6
564,motive_3
565,motive_3
566,motive_6
567,motive_6
568,motive_2
569,motive_2
570,
571,
572,motive_3
573,motive_3
574,motive_6
575,motive_6
576,motive_3
577,motive_3
578,motive_6
579,motive_6
580,motive_3
581,motive_3
582,motive_6
583,motive_6
584,motive_3
585,motive_3
586,motive_6
587,motive_6
588,motive_3
589,motive_3
590,motive_6
591,motive_6
592,motive_3
593,motive_3
594,motive_6
595,motive_6
596,motive_3
597,motive_3
598,motive_6
599,motive_6
